"run_id","id","db_id","difficulty","failure_attribution","failure_subcategory","primary_trace_class","primary_trace_subcategory","control_flow_class","control_flow_subcategory","semantic_error_class","semantic_subcategory","wrong_turn","sql_change_type","fix_idea","semantic_fix_idea","notes","semantic_notes","retrieval_diagnostic","schema_selected_tables","gold_detail_table_misses","gold_detail_column_name_misses","execution_count","earliest_problem_stage","earliest_problem_turn","terminal_transition","ever_executed_gold_matching_result","query_plan_initial_valid","query_plan_invalid_initial_count","query_plan_revision_count","query_plan_invalid_revision_count","query_plan_adherence_pass_count","query_plan_adherence_fail_count","question","predicted_sql","gold_sql"
"20260714T210045Z-11af1da6","bird_1480","debit_card_specializing","moderate","SEMANTIC_REVIEW_REQUIRED","filter_scope_or_expression_mismatch","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","SEMANTIC_REVIEW_REQUIRED","filter_scope_or_expression_mismatch","2","expression_or_projection_only","成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。","记录过滤字段、取值、时间范围和作用层级后再生成 SQL。","[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=expression_or_projection_only。","[AUTO confidence=low] 最终 SQL 已执行成功，但结果与 gold 不同；自动规则未发现更具体结构错误，需复核过滤范围或 gold 噪声。","retrieval_complete_mining_abstained_semantic_failure","[""yearmonth"", ""transactions_1k"", ""customers"", ""gasstations"", ""products""]","[]","[]","2","first_nonmatching_execution","1","unverified_rewrite_after_nonmatching_execution","false","true","0","0","0","2","0","What was the gas consumption peak month for SME customers in 2013?","SELECT ym.Date FROM yearmonth AS ym INNER JOIN customers AS c ON ym.CustomerID = c.CustomerID WHERE c.Segment = 'SME' AND ym.Date BETWEEN '201301' AND '201312' GROUP BY ym.Date ORDER BY SUM(ym.Consumption) DESC LIMIT 1;","SELECT SUBSTR(T2.Date, 5, 2) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME' GROUP BY SUBSTR(T2.Date, 5, 2) ORDER BY SUM(T2.Consumption) DESC LIMIT 1"
"20260714T210045Z-11af1da6","bird_1481","debit_card_specializing","challenging","OUTPUT_CONTRACT","output_column_count_mismatch","OUTPUT_CONTRACT","output_column_count_mismatch","","","OUTPUT_CONTRACT","output_column_count_mismatch","3","","生成输出契约并检查列数、顺序和每列含义。","生成输出契约并检查列数、顺序和每列含义。","[AUTO confidence=medium] 预测列数=2，gold 列数=3；需复核 gold 合理性。","[AUTO confidence=medium] 预测列数=2，gold 列数=3；需复核 gold 合理性。","retrieval_complete_mining_abstained_semantic_failure","[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations"", ""products""]","[]","[]","3","first_nonmatching_execution","1","unverified_rewrite_after_nonmatching_execution","false","true","0","1","1","2","1","What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME?","WITH annual_totals AS (SELECT c.Segment, c.CustomerID, SUM(y.Consumption) AS annual_consumption FROM customers AS c INNER JOIN yearmonth AS y ON y.CustomerID = c.CustomerID WHERE c.Currency = 'CZK' AND c.Segment IN ('SME', 'LAM', 'KAM') AND y.Date BETWEEN '201301' AND '201312' GROUP BY c.Segment, c.CustomerID), segment_min AS (SELECT Segment, MIN(annual_consumption) AS min_consumption FROM annual_totals GROUP BY Segment), segment_avg AS (SELECT a.Segment, AVG(a.annual_consumption) AS avg_consumption FROM annual_totals AS a INNER JOIN segment_min AS m ON m.Segment = a.Segment AND m.min_consumption = a.annual_consumption GROUP BY a.Segment), results AS (SELECT 1 AS ord, 'SME-LAM' AS pair, (SELECT avg_consumption FROM segment_avg WHERE Segment = 'SME') - (SELECT avg_consumption FROM segment_avg WHERE Segment = 'LAM') AS diff UNION ALL SELECT 2 AS ord, 'LAM-KAM' AS pair, (SELECT avg_consumption FROM segment_avg WHERE Segment = 'LAM') - (SELECT avg_consumption FROM segment_avg WHERE Segment = 'KAM') AS diff UNION ALL SELECT 3 AS ord, 'KAM-SME' AS pair, (SELECT avg_consumption FROM segment_avg WHERE Segment = 'KAM') - (SELECT avg_consumption FROM segment_avg WHERE Segment = 'SME') AS diff) SELECT pair, diff FROM results ORDER BY ord;","SELECT CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' AND T2.Consumption = ( SELECT MIN(Consumption) FROM yearmonth ) AND T2.Date BETWEEN 201301 AND 201312"
"20260714T210045Z-11af1da6","bird_1482","debit_card_specializing","challenging","AGGREGATION_REASONING","aggregation_or_grouping_mismatch","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","AGGREGATION_REASONING","aggregation_or_grouping_mismatch","2","ORDER BY","成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。","生成 SQL 前明确统计对象、分组键、聚合函数和聚合后的排序字段。","[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=ORDER BY。","[AUTO confidence=medium] 预测与 gold 的聚合结构不同：group by, min(, max(。","retrieval_complete_mining_abstained_semantic_failure","[""customers"", ""yearmonth"", ""gasstations"", ""transactions_1k"", ""products""]","[]","[]","1","first_nonmatching_execution","1","unverified_rewrite_after_nonmatching_execution","false","true","0","0","0","0","1","Which of the three segments鈥擲ME, LAM and KAM鈥攈as the biggest and lowest percentage increases in consumption paid in EUR between 2012 and 2013?","WITH seg_year AS (SELECT c.Segment, substr(y.Date,1,4) AS yr, SUM(y.Consumption) AS consumption FROM yearmonth y JOIN customers c ON y.CustomerID = c.CustomerID WHERE c.Currency = 'EUR' AND c.Segment IN ('SME','LAM','KAM') AND substr(y.Date,1,4) IN ('2012','2013') GROUP BY c.Segment, substr(y.Date,1,4)), seg_pivot AS (SELECT Segment, SUM(CASE WHEN yr='2012' THEN consumption ELSE 0 END) AS consumption_2012, SUM(CASE WHEN yr='2013' THEN consumption ELSE 0 END) AS consumption_2013 FROM seg_year GROUP BY Segment), calc AS (SELECT Segment, ((consumption_2013 - consumption_2012) / NULLIF(consumption_2013,0)) * 100.0 AS pct_increase FROM seg_pivot) SELECT 'biggest' AS extreme_type, Segment, pct_increase FROM calc WHERE pct_increase = (SELECT MAX(pct_increase) FROM calc) UNION ALL SELECT 'lowest' AS extreme_type, Segment, pct_increase FROM calc WHERE pct_increase = (SELECT MIN(pct_increase) FROM calc);","SELECT CAST((SUM(IIF(T1.Segment = 'SME' AND T2.Date LIKE '2013%', T2.Consumption, 0)) - SUM(IIF(T1.Segment = 'SME' AND T2.Date LIKE '2012%', T2.Consumption, 0))) AS FLOAT) * 100 / SUM(IIF(T1.Segment = 'SME' AND T2.Date LIKE '2012%', T2.Consumption, 0)), CAST(SUM(IIF(T1.Segment = 'LAM' AND T2.Date LIKE '2013%', T2.Consumption, 0)) - SUM(IIF(T1.Segment = 'LAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) AS FLOAT) * 100 / SUM(IIF(T1.Segment = 'LAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) , CAST(SUM(IIF(T1.Segment = 'KAM' AND T2.Date LIKE '2013%', T2.Consumption, 0)) - SUM(IIF(T1.Segment = 'KAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) AS FLOAT) * 100 / SUM(IIF(T1.Segment = 'KAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID"
"20260714T210045Z-11af1da6","bird_1498","debit_card_specializing","simple","AGGREGATION_REASONING","aggregation_or_grouping_mismatch","AGGREGATION_REASONING","aggregation_or_grouping_mismatch","","","AGGREGATION_REASONING","aggregation_or_grouping_mismatch","1","","生成 SQL 前明确统计对象、分组键、聚合函数和聚合后的排序字段。","生成 SQL 前明确统计对象、分组键、聚合函数和聚合后的排序字段。","[AUTO confidence=medium] 预测与 gold 的聚合结构不同：group by, sum(, max(。","[AUTO confidence=medium] 预测与 gold 的聚合结构不同：group by, sum(, max(。","retrieval_complete_mining_abstained_semantic_failure","[""yearmonth"", ""gasstations"", ""transactions_1k"", ""customers"", ""products""]","[]","[]","1","first_nonmatching_execution","1","final_same_as_last_execution","false","true","0","0","0","1","0","What is the highest monthly consumption in the year 2012?","SELECT MAX(Consumption) AS highest_monthly_consumption FROM yearmonth WHERE Date LIKE '2012%';","SELECT SUM(Consumption) FROM yearmonth WHERE SUBSTR(Date, 1, 4) = '2012' GROUP BY SUBSTR(Date, 5, 2) ORDER BY SUM(Consumption) DESC LIMIT 1"
"20260714T210045Z-11af1da6","bird_1500","debit_card_specializing","simple","RUNNER_OR_API","missing_final_sql","RUNNER_OR_API","missing_final_sql","","","","","8","","没有有效 FINAL SQL 时自动重试并记录解析错误。","","[AUTO confidence=high] 结果文件中的 predicted_sql 为空。","","retrieval_complete_mining_abstained_semantic_failure","[""products"", ""transactions_1k"", ""yearmonth"", ""gasstations"", ""customers""]","[]","[]","0","direct_final_without_execution","8","final_without_execution","false","true","0","0","7","0","0","Please list the product description of the products consumed in September, 2013.","","SELECT T3.Description FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID INNER JOIN products AS T3 ON T1.ProductID = T3.ProductID WHERE T2.Date = '201309'"
"20260714T210045Z-11af1da6","bird_1505","debit_card_specializing","simple","SEMANTIC_REVIEW_REQUIRED","filter_scope_or_expression_mismatch","SEMANTIC_REVIEW_REQUIRED","filter_scope_or_expression_mismatch","","","SEMANTIC_REVIEW_REQUIRED","filter_scope_or_expression_mismatch","1","","记录过滤字段、取值、时间范围和作用层级后再生成 SQL。","记录过滤字段、取值、时间范围和作用层级后再生成 SQL。","[AUTO confidence=low] 最终 SQL 已执行成功，但结果与 gold 不同；自动规则未发现更具体结构错误，需复核过滤范围或 gold 噪声。","[AUTO confidence=low] 最终 SQL 已执行成功，但结果与 gold 不同；自动规则未发现更具体结构错误，需复核过滤范围或 gold 噪声。","retrieval_complete_mining_abstained_semantic_failure","[""customers"", ""yearmonth"", ""transactions_1k"", ""gasstations""]","[]","[]","1","first_nonmatching_execution","1","final_same_as_last_execution","false","true","0","0","0","1","0","Among the customers who paid in euro, how many of them have a monthly consumption of over 1000?","SELECT COUNT(DISTINCT c.CustomerID) FROM customers AS c INNER JOIN yearmonth AS y ON c.CustomerID = y.CustomerID WHERE c.Currency = 'EUR' AND y.Consumption > 1000","SELECT COUNT(*) FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Currency = 'EUR' AND T1.Consumption > 1000.00"
"20260714T210045Z-11af1da6","bird_1524","debit_card_specializing","simple","SCHEMA_LINKING","table_or_join_path_mismatch","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","SCHEMA_LINKING","table_or_join_path_mismatch","2","tables, WHERE","成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。","生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。","[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=tables, WHERE。","[AUTO confidence=medium] 表集合不同：pred=['customers', 'transactions_1k']，gold=['gasstations', 'transactions_1k']；需复核 gold。","retrieval_complete_mining_abstained_semantic_failure","[""transactions_1k"", ""customers"", ""yearmonth"", ""gasstations""]","[]","[]","2","first_nonmatching_execution","1","unverified_rewrite_after_nonmatching_execution","false","true","0","0","0","0","2","What's the nationality of the customer who spent 548.4 in 2012/8/24?","SELECT DISTINCT C.Currency AS nationality FROM transactions_1k AS T INNER JOIN customers AS C ON T.CustomerID = C.CustomerID WHERE T.Date = '2012-08-24' AND ROUND(T.Amount * T.Price, 1) = 548.4","SELECT T2.Country FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-24' AND T1.Price  = 548.4"
"20260714T210045Z-11af1da6","bird_1526","debit_card_specializing","challenging","SCHEMA_LINKING","table_or_join_path_mismatch","SCHEMA_LINKING","table_or_join_path_mismatch","","","SCHEMA_LINKING","table_or_join_path_mismatch","4","","生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。","生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。","[AUTO confidence=medium] 表集合不同：pred=['transactions_1k', 'yearmonth']，gold=['gasstations', 'transactions_1k', 'yearmonth']；需复核 gold。","[AUTO confidence=medium] 表集合不同：pred=['transactions_1k', 'yearmonth']，gold=['gasstations', 'transactions_1k', 'yearmonth']；需复核 gold。","retrieval_complete_mining_abstained_semantic_failure","[""transactions_1k"", ""yearmonth"", ""customers"", ""gasstations""]","[]","[]","5","first_nonmatching_execution","1","unverified_rewrite_after_nonmatching_execution","false","true","0","3","0","0","5","For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?","SELECT (SUM(CASE WHEN SUBSTR(ym.Date, 1, 4) = '2012' THEN ym.Consumption ELSE 0 END) - SUM(CASE WHEN SUBSTR(ym.Date, 1, 4) = '2013' THEN ym.Consumption ELSE 0 END)) * 1.0 / NULLIF(SUM(CASE WHEN SUBSTR(ym.Date, 1, 4) = '2012' THEN ym.Consumption ELSE 0 END), 0) AS decrease_rate FROM yearmonth AS ym WHERE ym.CustomerID = (SELECT CustomerID FROM transactions_1k WHERE Date = '2012-08-25' AND Price = 634.8 LIMIT 1)","SELECT CAST(SUM(IIF(SUBSTRING(Date, 1, 4) = '2012', Consumption, 0)) - SUM(IIF(SUBSTRING(Date, 1, 4) = '2013', Consumption, 0)) AS FLOAT) / SUM(IIF(SUBSTRING(Date, 1, 4) = '2012', Consumption, 0)) FROM yearmonth WHERE CustomerID = ( SELECT T1.CustomerID FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-25' AND T1.Price  = 1513.12 )"
"20260714T210045Z-11af1da6","bird_1529","debit_card_specializing","moderate","SCHEMA_LINKING","table_or_join_path_mismatch","SCHEMA_LINKING","table_or_join_path_mismatch","","","SCHEMA_LINKING","table_or_join_path_mismatch","1","","生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。","生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。","[AUTO confidence=medium] 表集合不同：pred=['transactions_1k', 'yearmonth']，gold=['gasstations', 'transactions_1k', 'yearmonth']；需复核 gold。","[AUTO confidence=medium] 表集合不同：pred=['transactions_1k', 'yearmonth']，gold=['gasstations', 'transactions_1k', 'yearmonth']；需复核 gold。","retrieval_complete_mining_abstained_semantic_failure","[""transactions_1k"", ""gasstations"", ""yearmonth"", ""customers"", ""products""]","[]","[]","1","first_nonmatching_execution","1","final_same_as_last_execution","false","true","0","0","0","1","0","What is the amount spent by customer ""38508"" at the gas stations? How much had the customer spent in January 2012?","SELECT (SELECT SUM(t.Amount) FROM transactions_1k t WHERE t.CustomerID = 38508) AS amount_spent_at_gas_stations, (SELECT SUM(y.Consumption) FROM yearmonth y WHERE y.CustomerID = 38508 AND y.Date = '201201') AS amount_spent_in_january_2012","SELECT SUM(T1.Price ) , SUM(IIF(T3.Date = '201201', T1.Price, 0)) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T1.CustomerID = '38508'"
"20260714T210045Z-11af1da6","bird_1531","debit_card_specializing","moderate","AGGREGATION_REASONING","sort_direction_or_order_scope_mismatch","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","UNVERIFIED_FINAL","final_sql_rewritten_after_incorrect_observation","AGGREGATION_REASONING","sort_direction_or_order_scope_mismatch","3","expression_or_projection_only","成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。","显式记录排序指标、方向以及排序发生在聚合前还是聚合后。","[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=expression_or_projection_only。","[AUTO confidence=medium] 排序结构不同：pred=['implicit']，gold=['desc']。","retrieval_complete_mining_abstained_semantic_failure","[""transactions_1k"", ""customers"", ""yearmonth"", ""gasstations""]","[]","[]","1","first_nonmatching_execution","1","unverified_rewrite_after_nonmatching_execution","false","true","0","0","0","1","0","Who is the top spending customer and how much is the average price per single item purchased by this customer? What currency was being used?","SELECT t.CustomerID, SUM(t.Price * t.Amount) / NULLIF(SUM(t.Amount), 0) AS avg_price_per_single_item, c.Currency FROM transactions_1k AS t INNER JOIN customers AS c ON t.CustomerID = c.CustomerID GROUP BY t.CustomerID, c.Currency ORDER BY SUM(t.Price * t.Amount) DESC LIMIT 1","SELECT T2.CustomerID, SUM(T2.Price / T2.Amount), T1.Currency FROM customers AS T1 INNER JOIN transactions_1k AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.CustomerID = ( SELECT CustomerID FROM yearmonth ORDER BY Consumption DESC LIMIT 1 ) GROUP BY T2.CustomerID, T1.Currency"
