run_id,id,db_id,difficulty,step_index,event_sequence,turn,action_type,sql,tables,projection_count,sql_delta_from_previous,observation_state,result_matches_gold,transition_type,is_first_nonmatching_execution,retrieval_diagnostic,semantic_error_class,semantic_subcategory,state_payload
20260808T014543Z-d19893f9,bird_1529,debit_card_specializing,moderate,1,1,1,db.execute,SELECT COUNT(*) FROM transactions_1k WHERE CustomerID = 38508,"[""transactions_1k""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_1529,debit_card_specializing,moderate,2,2,1,db.execute,SELECT * FROM transactions_1k WHERE CustomerID = 38508 LIMIT 5,"[""transactions_1k""]",1,"limit,aggregate",nonmatching,false,remained_nonmatching,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_1529,debit_card_specializing,moderate,3,3,1,db.execute,SELECT * FROM yearmonth WHERE CustomerID = 38508 AND Date = '201201',"[""yearmonth""]",1,"tables_or_join,limit",nonmatching,false,remained_nonmatching,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_1529,debit_card_specializing,moderate,4,4,1,db.execute,SELECT COUNT(*) AS cnt FROM transactions_1k WHERE CustomerID = 38508,"[""transactions_1k""]",1,"tables_or_join,aggregate",nonmatching,false,remained_nonmatching,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_1529,debit_card_specializing,moderate,5,5,2,FINAL,"SELECT (SELECT SUM(t.Amount * t.Price) FROM transactions_1k t WHERE t.CustomerID = '38508') AS gas_station_spent, (SELECT SUM(y.Consumption) FROM yearmonth y WHERE y.CustomerID = '38508' AND y.Date = '201201') AS january_2012_spent;","[""transactions_1k"", ""yearmonth""]",,"tables_or_join,projection_count",benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_1166,thrombosis_prediction,simple,1,1,1,db.execute,"SELECT P.ID, P.Birthday, E.""Symptoms"", E.""Diagnosis"", P.""Diagnosis"" AS PatientDiagnosis, E.""Examination Date""
FROM Examination AS E
JOIN Patient AS P ON E.ID = P.ID
WHERE E.""Symptoms"" IS NOT NULL
ORDER BY P.Birthday DESC, E.""Examination Date"" DESC
LIMIT 10","[""examination"", ""patient""]",6,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,
20260808T014543Z-d19893f9,bird_1166,thrombosis_prediction,simple,2,2,3,FINAL,"SELECT E.""Symptoms"", E.""Diagnosis"" FROM Examination AS E INNER JOIN Patient AS P ON E.ID = P.ID WHERE E.""Symptoms"" IS NOT NULL ORDER BY P.""Birthday"" DESC, E.""Examination Date"" DESC LIMIT 1","[""examination"", ""patient""]",2,projection_count,benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,
20260808T014543Z-d19893f9,bird_902,formula_1,simple,1,1,1,db.execute,"SELECT DISTINCT r.name
FROM qualifying q
JOIN drivers d ON q.driverId = d.driverId
JOIN races r ON q.raceId = r.raceId
WHERE d.forename = 'Alex' AND d.surname = 'Yoong'
  AND q.position < 20
ORDER BY r.year, r.round;","[""drivers"", ""qualifying"", ""races""]",1,initial_sql,empty_nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_902,formula_1,simple,2,2,1,db.execute,SELECT 1;,[],,"tables_or_join,projection_count,where,order_by,distinct",nonmatching,false,remained_nonmatching,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T014543Z-d19893f9,bird_902,formula_1,simple,3,3,2,FINAL,"SELECT DISTINCT T3.name FROM drivers AS T1 INNER JOIN results AS T2 ON T1.driverId = T2.driverId INNER JOIN races AS T3 ON T2.raceId = T3.raceId WHERE T1.forename = 'Alex' AND T1.surname = 'Yoong' AND T2.position < 20 ORDER BY T3.year, T3.round","[""drivers"", ""races"", ""results""]",1,"tables_or_join,projection_count,where,order_by,distinct",benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
