run_id,id,db_id,difficulty,step_index,event_sequence,turn,action_type,sql,tables,projection_count,sql_delta_from_previous,observation_state,result_matches_gold,transition_type,is_first_nonmatching_execution,retrieval_diagnostic,semantic_error_class,semantic_subcategory,state_payload
20260808T015135Z-68d83bf0,bird_1529,debit_card_specializing,moderate,1,2,1,db.execute,SELECT COUNT(*) FROM transactions_1k WHERE CustomerID = 38508,"[""transactions_1k""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T015135Z-68d83bf0,bird_1529,debit_card_specializing,moderate,2,3,2,FINAL,"SELECT (SELECT SUM(t.Amount * t.Price) FROM transactions_1k t WHERE t.CustomerID = 38508) AS total_money_spent, (SELECT SUM(y.Consumption) FROM yearmonth y WHERE y.CustomerID = 38508 AND y.Date = '201201') AS january_2012_spent","[""transactions_1k"", ""yearmonth""]",,"tables_or_join,projection_count",benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T015135Z-68d83bf0,bird_1166,thrombosis_prediction,simple,1,1,1,FINAL,"SELECT DISTINCT e.`Symptoms`, p.`Diagnosis` FROM Patient AS p JOIN Examination AS e ON p.ID = e.ID WHERE e.`Symptoms` IS NOT NULL AND p.`Birthday` = (SELECT MAX(p2.`Birthday`) FROM Patient AS p2 JOIN Examination AS e2 ON p2.ID = e2.ID)","[""examination"", ""patient""]",2,initial_sql,benchmark_nonmatching_final,false,final_without_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260808T015135Z-68d83bf0,bird_584,codebase_community,moderate,1,1,1,db.execute,"SELECT Id, Title FROM posts WHERE Title = 'Why square the difference instead of taking the absolute value in standard deviation?'","[""posts""]",2,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,
20260808T015135Z-68d83bf0,bird_584,codebase_community,moderate,2,3,2,db.execute,"SELECT Id, PostHistoryTypeId, CreationDate, Comment FROM postHistory WHERE PostId = 118 ORDER BY CreationDate ASC","[""posthistory""]",4,"tables_or_join,projection_count,order_by",nonmatching,false,remained_nonmatching,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,
20260808T015135Z-68d83bf0,bird_584,codebase_community,moderate,3,4,3,FINAL,"SELECT PH.Comment FROM postHistory AS PH INNER JOIN posts AS P ON PH.PostId = P.Id WHERE P.Title = 'Why square the difference instead of taking the absolute value in standard deviation?' AND PH.Comment IS NOT NULL AND PH.Comment <> '' ORDER BY PH.CreationDate ASC, PH.Id ASC","[""posthistory"", ""posts""]",1,"tables_or_join,projection_count",benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,
20260808T015135Z-68d83bf0,bird_465,card_games,moderate,1,1,1,db.execute,SELECT DISTINCT setCode FROM cards WHERE name = 'Ancestor''s Chosen';,"[""cards""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,OUTPUT_CONTRACT,yes_no_vs_row_output_mismatch,
20260808T015135Z-68d83bf0,bird_465,card_games,moderate,2,2,2,FINAL,SELECT DISTINCT st.translation FROM cards AS c INNER JOIN sets AS s ON c.setCode = s.code INNER JOIN set_translations AS st ON s.code = st.setCode WHERE c.name = 'Ancestor''s Chosen' AND st.language = 'Korean';,"[""cards"", ""set_translations"", ""sets""]",1,tables_or_join,benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,OUTPUT_CONTRACT,yes_no_vs_row_output_mismatch,
20260808T015135Z-68d83bf0,bird_145,financial,moderate,1,1,1,db.execute,"SELECT DISTINCT account_id FROM trans WHERE operation = 'VYBER KARTOU' AND STRFTIME('%Y', date) = '1998' AND amount < (SELECT AVG(amount) FROM trans WHERE operation = 'VYBER KARTOU' AND STRFTIME('%Y', date) = '1998') ORDER BY account_id","[""trans""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260808T015135Z-68d83bf0,bird_145,financial,moderate,2,2,1,FINAL,"SELECT DISTINCT account_id FROM trans WHERE operation = 'VYBER KARTOU' AND STRFTIME('%Y', date) = '1998' AND amount < (SELECT AVG(amount) FROM trans WHERE operation = 'VYBER KARTOU' AND STRFTIME('%Y', date) = '1998') ORDER BY account_id","[""trans""]",1,unchanged,benchmark_nonmatching_final,false,final_same_as_last_execution,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
