id,db_id,difficulty,correct,diagnostic,mining_artifact_version,mining_selection_mode,mining_selected_item_ids,mining_selected_items,mining_abstained,schema_artifact_version,schema_selected_tables,schema_seed_mode,schema_seeds,schema_path_expansions,schema_fk_neighbour_expansions,schema_truncated_tables,schema_columns_truncated,gold_tables,gold_columns,gold_shape,gold_detail_table_misses,gold_detail_column_name_misses,final_tables,final_columns,final_shape,final_tables_outside_detailed_context,predicted_sql_parse_error,gold_sql_parse_error
bird_1471,debit_card_specializing,simple,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations""]",positive-lexical,"[""customers"", ""transactions_1k"", ""yearmonth""]","[{""from_seed"": ""customers"", ""to_seed"": ""transactions_1k"", ""path"": [""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""gasstations"", ""added"": true}]","[{""table"": ""products"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""customers""]",[],"[""SELECT"", ""AGGREGATE""]",[],[],"[""customers""]",[],"[""SELECT"", ""AGGREGATE"", ""CONDITIONAL""]",[],,
bird_1472,debit_card_specializing,moderate,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""yearmonth"", ""customers"", ""gasstations"", ""transactions_1k"", ""products""]",positive-lexical,"[""yearmonth"", ""customers"", ""gasstations"", ""transactions_1k""]","[{""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""transactions_1k"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""gasstations"", ""path"": [""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""transactions_1k"", ""path"": [""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""gasstations"", ""to_seed"": ""transactions_1k"", ""path"": [""gasstations"", ""transactions_1k""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC]"", ""LIMIT""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""JOIN[1]"", ""WHERE"", ""ORDER_BY[ASC]"", ""LIMIT""]",[],,
bird_1480,debit_card_specializing,moderate,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""yearmonth"", ""transactions_1k"", ""customers"", ""gasstations"", ""products""]",positive-lexical,"[""yearmonth"", ""transactions_1k"", ""customers"", ""gasstations""]","[{""from_seed"": ""yearmonth"", ""to_seed"": ""transactions_1k"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""customers"", ""path"": [""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""gasstations"", ""path"": [""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""gasstations"", ""path"": [""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC/DESC]"", ""LIMIT""]",[],,
bird_1481,debit_card_specializing,challenging,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations"", ""products""]",positive-lexical,"[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations""]","[{""from_seed"": ""customers"", ""to_seed"": ""transactions_1k"", ""path"": [""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""gasstations"", ""path"": [""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""gasstations"", ""path"": [""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""SUBQUERY""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""GROUP_BY"", ""SUBQUERY"", ""CTE""]",[],,
bird_1482,debit_card_specializing,challenging,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""customers"", ""yearmonth"", ""gasstations"", ""transactions_1k"", ""products""]",positive-lexical,"[""customers"", ""yearmonth"", ""gasstations"", ""transactions_1k""]","[{""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""gasstations"", ""path"": [""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""transactions_1k"", ""path"": [""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""transactions_1k"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""gasstations"", ""to_seed"": ""transactions_1k"", ""path"": [""gasstations"", ""transactions_1k""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC/DESC]"", ""LIMIT"", ""CONDITIONAL"", ""CTE"", ""SET_OP""]",[],,
bird_1483,debit_card_specializing,simple,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""transactions_1k"", ""yearmonth"", ""customers"", ""gasstations"", ""products""]",positive-lexical,"[""transactions_1k"", ""yearmonth"", ""customers"", ""gasstations""]","[{""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""customers"", ""path"": [""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""gasstations"", ""path"": [""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""gasstations"", ""path"": [""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],[],"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],,
bird_1498,debit_card_specializing,simple,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""yearmonth"", ""gasstations"", ""transactions_1k"", ""customers"", ""products""]",positive-lexical,"[""yearmonth"", ""gasstations"", ""transactions_1k""]","[{""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": [""customers""]}, {""from_seed"": ""yearmonth"", ""to_seed"": ""transactions_1k"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""gasstations"", ""to_seed"": ""transactions_1k"", ""path"": [""gasstations"", ""transactions_1k""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""]",[],[],"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],,
bird_1500,debit_card_specializing,simple,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""products"", ""transactions_1k"", ""yearmonth"", ""gasstations"", ""customers""]",positive-lexical,"[""products"", ""transactions_1k"", ""yearmonth"", ""gasstations""]","[{""from_seed"": ""products"", ""to_seed"": ""transactions_1k"", ""path"": [""products"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""products"", ""to_seed"": ""yearmonth"", ""path"": [""products"", ""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": [""customers""]}, {""from_seed"": ""products"", ""to_seed"": ""gasstations"", ""path"": [""products"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""gasstations"", ""path"": [""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""gasstations"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""], ""added_tables"": []}]",[],[],{},"[""products"", ""transactions_1k"", ""yearmonth""]","[""customerid"", ""date"", ""description"", ""productid""]","[""SELECT"", ""JOIN[2+]"", ""WHERE""]",[],[],"[""products"", ""transactions_1k"", ""yearmonth""]","[""customerid"", ""date"", ""description"", ""productid""]","[""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE"", ""ORDER_BY[ASC]""]",[],,
bird_1505,debit_card_specializing,simple,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""customers"", ""yearmonth"", ""transactions_1k"", ""gasstations""]",positive-lexical,"[""customers"", ""yearmonth"", ""transactions_1k""]","[{""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""transactions_1k"", ""path"": [""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""transactions_1k"", ""path"": [""yearmonth"", ""customers"", ""transactions_1k""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""gasstations"", ""added"": true}]","[{""table"": ""products"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""]",[],,
bird_1506,debit_card_specializing,moderate,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""gasstations"", ""transactions_1k"", ""products"", ""customers""]",positive-lexical,"[""gasstations"", ""transactions_1k"", ""products""]","[{""from_seed"": ""gasstations"", ""to_seed"": ""transactions_1k"", ""path"": [""gasstations"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""gasstations"", ""to_seed"": ""products"", ""path"": [""gasstations"", ""transactions_1k"", ""products""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""products"", ""path"": [""transactions_1k"", ""products""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""customers"", ""added"": true}]","[{""table"": ""yearmonth"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""gasstations"", ""products"", ""transactions_1k""]","[""country"", ""description"", ""gasstationid"", ""productid""]","[""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE""]",[],[],"[""gasstations"", ""products"", ""transactions_1k""]","[""country"", ""description"", ""gasstationid"", ""productid""]","[""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE"", ""ORDER_BY[ASC]""]",[],,
bird_1524,debit_card_specializing,simple,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""transactions_1k"", ""customers"", ""yearmonth"", ""gasstations""]",positive-lexical,"[""transactions_1k"", ""customers"", ""yearmonth""]","[{""from_seed"": ""transactions_1k"", ""to_seed"": ""customers"", ""path"": [""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""gasstations"", ""added"": true}]","[{""table"": ""products"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""gasstations"", ""transactions_1k""]","[""country"", ""date"", ""gasstationid"", ""price""]","[""SELECT"", ""JOIN[1]"", ""WHERE""]",[],[],"[""customers"", ""transactions_1k""]","[""amount"", ""currency"", ""customerid"", ""date"", ""price""]","[""SELECT"", ""DISTINCT"", ""JOIN[1]"", ""WHERE""]",[],,
bird_1526,debit_card_specializing,challenging,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""transactions_1k"", ""yearmonth"", ""customers"", ""gasstations""]",positive-lexical,"[""transactions_1k"", ""yearmonth"", ""customers""]","[{""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""customers"", ""path"": [""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""gasstations"", ""added"": true}]","[{""table"": ""products"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""gasstations"", ""transactions_1k"", ""yearmonth""]","[""customerid"", ""date"", ""gasstationid"", ""price""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""SUBQUERY""]",[],[],"[""transactions_1k"", ""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE"", ""LIMIT"", ""CONDITIONAL"", ""SUBQUERY"", ""CTE""]",[],,
bird_1529,debit_card_specializing,moderate,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""transactions_1k"", ""gasstations"", ""yearmonth"", ""customers"", ""products""]",positive-lexical,"[""transactions_1k"", ""gasstations"", ""yearmonth"", ""customers""]","[{""from_seed"": ""transactions_1k"", ""to_seed"": ""gasstations"", ""path"": [""transactions_1k"", ""gasstations""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""customers"", ""path"": [""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""gasstations"", ""to_seed"": ""yearmonth"", ""path"": [""gasstations"", ""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""gasstations"", ""to_seed"": ""customers"", ""path"": [""gasstations"", ""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""products"", ""added"": true}]",[],{},"[""gasstations"", ""transactions_1k"", ""yearmonth""]","[""customerid"", ""date"", ""gasstationid"", ""price""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE""]",[],[],"[""transactions_1k"", ""yearmonth""]","[""amount"", ""consumption"", ""customerid"", ""date"", ""price""]","[""SELECT"", ""AGGREGATE"", ""WHERE"", ""SUBQUERY""]",[],,
bird_1531,debit_card_specializing,moderate,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""transactions_1k"", ""customers"", ""yearmonth"", ""gasstations""]",positive-lexical,"[""transactions_1k"", ""customers"", ""yearmonth""]","[{""from_seed"": ""transactions_1k"", ""to_seed"": ""customers"", ""path"": [""transactions_1k"", ""customers""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""gasstations"", ""added"": true}]","[{""table"": ""products"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""customers"", ""transactions_1k"", ""yearmonth""]","[""amount"", ""currency"", ""customerid"", ""price""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT"", ""SUBQUERY""]",[],[],"[""customers"", ""transactions_1k""]","[""amount"", ""currency"", ""customerid"", ""price""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""]",[],,
bird_1312,student_club,simple,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""member"", ""major"", ""event"", ""attendance"", ""expense"", ""budget""]",positive-lexical,"[""member"", ""major"", ""event""]","[{""from_seed"": ""member"", ""to_seed"": ""major"", ""path"": [""member"", ""major""], ""added_tables"": []}, {""from_seed"": ""member"", ""to_seed"": ""event"", ""path"": [""member"", ""attendance"", ""event""], ""added_tables"": [""attendance""]}, {""from_seed"": ""major"", ""to_seed"": ""event"", ""path"": [""major"", ""member"", ""attendance"", ""event""], ""added_tables"": []}]","[{""seed"": ""member"", ""neighbour"": ""expense"", ""added"": true}, {""seed"": ""event"", ""neighbour"": ""budget"", ""added"": true}]","[{""table"": ""income"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}, {""table"": ""zip_code"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""major"", ""member""]","[""first_name"", ""last_name"", ""link_to_major"", ""major_id"", ""major_name""]","[""SELECT"", ""JOIN[1]"", ""WHERE""]",[],[],"[""major"", ""member""]","[""first_name"", ""last_name"", ""link_to_major"", ""major_id"", ""major_name""]","[""SELECT"", ""JOIN[1]"", ""WHERE""]",[],,
