id,db_id,difficulty,correct,diagnostic,mining_artifact_version,mining_selection_mode,mining_selected_item_ids,mining_selected_items,mining_abstained,schema_artifact_version,schema_selected_tables,schema_seed_mode,schema_seeds,schema_path_expansions,schema_fk_neighbour_expansions,schema_truncated_tables,schema_columns_truncated,gold_tables,gold_columns,gold_shape,gold_detail_table_misses,gold_detail_column_name_misses,final_tables,final_columns,final_shape,final_tables_outside_detailed_context,predicted_sql_parse_error,gold_sql_parse_error
bird_1471,debit_card_specializing,simple,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations""]",positive-lexical,"[""customers"", ""transactions_1k"", ""yearmonth""]","[{""from_seed"": ""customers"", ""to_seed"": ""transactions_1k"", ""path"": [""customers"", ""transactions_1k""], ""added_tables"": []}, {""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}, {""from_seed"": ""transactions_1k"", ""to_seed"": ""yearmonth"", ""path"": [""transactions_1k"", ""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""transactions_1k"", ""neighbour"": ""gasstations"", ""added"": true}]","[{""table"": ""products"", ""lexical_score"": 0, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""customers""]",[],"[""SELECT"", ""AGGREGATE""]",[],[],"[""customers""]",[],"[""SELECT"", ""AGGREGATE"", ""CONDITIONAL""]",[],,
bird_1076,european_football_2,challenging,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""Player_Attributes"", ""Player"", ""Team_Attributes"", ""Match"", ""Team"", ""Country""]",positive-lexical,"[""Player_Attributes"", ""Player"", ""Team_Attributes"", ""Match""]","[{""from_seed"": ""Player_Attributes"", ""to_seed"": ""Player"", ""path"": [""Player_Attributes"", ""Player""], ""added_tables"": []}, {""from_seed"": ""Player_Attributes"", ""to_seed"": ""Team_Attributes"", ""path"": [""Player_Attributes"", ""Player"", ""Match"", ""Team"", ""Team_Attributes""], ""added_tables"": [""Team""]}, {""from_seed"": ""Player_Attributes"", ""to_seed"": ""Match"", ""path"": [""Player_Attributes"", ""Player"", ""Match""], ""added_tables"": []}, {""from_seed"": ""Player"", ""to_seed"": ""Team_Attributes"", ""path"": [""Player"", ""Match"", ""Team"", ""Team_Attributes""], ""added_tables"": []}, {""from_seed"": ""Player"", ""to_seed"": ""Match"", ""path"": [""Player"", ""Match""], ""added_tables"": []}, {""from_seed"": ""Team_Attributes"", ""to_seed"": ""Match"", ""path"": [""Team_Attributes"", ""Team"", ""Match""], ""added_tables"": []}]","[{""seed"": ""Match"", ""neighbour"": ""Country"", ""added"": true}]","[{""table"": ""League"", ""lexical_score"": 2, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]","{""Player_Attributes"": 26, ""Team_Attributes"": 9, ""Match"": 99}","[""player"", ""player_attributes""]","[""ball_control"", ""id"", ""player_api_id"", ""player_name""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""CONDITIONAL""]",[],[],"[""player"", ""player_attributes""]","[""ball_control"", ""id"", ""player_api_id"", ""player_name""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""CONDITIONAL""]",[],,
bird_775,superhero,challenging,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""colour"", ""superhero"", ""alignment"", ""gender"", ""race""]",positive-lexical,"[""colour"", ""superhero"", ""alignment"", ""gender""]","[{""from_seed"": ""colour"", ""to_seed"": ""superhero"", ""path"": [""colour"", ""superhero""], ""added_tables"": []}, {""from_seed"": ""colour"", ""to_seed"": ""alignment"", ""path"": [""colour"", ""superhero"", ""alignment""], ""added_tables"": []}, {""from_seed"": ""colour"", ""to_seed"": ""gender"", ""path"": [""colour"", ""superhero"", ""gender""], ""added_tables"": []}, {""from_seed"": ""superhero"", ""to_seed"": ""alignment"", ""path"": [""superhero"", ""alignment""], ""added_tables"": []}, {""from_seed"": ""superhero"", ""to_seed"": ""gender"", ""path"": [""superhero"", ""gender""], ""added_tables"": []}, {""from_seed"": ""alignment"", ""to_seed"": ""gender"", ""path"": [""alignment"", ""superhero"", ""gender""], ""added_tables"": []}]","[{""seed"": ""superhero"", ""neighbour"": ""race"", ""added"": true}]","[{""table"": ""hero_attribute"", ""lexical_score"": 2, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}, {""table"": ""attribute"", ""lexical_score"": 1, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}, {""table"": ""hero_power"", ""lexical_score"": 1, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}, {""table"": ""publisher"", ""lexical_score"": 1, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}, {""table"": ""superpower"", ""lexical_score"": 1, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]",{},"[""colour"", ""gender"", ""superhero""]","[""colour"", ""gender"", ""gender_id"", ""id"", ""skin_colour_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""CONDITIONAL""]",[],[],"[""colour"", ""gender"", ""superhero""]","[""colour"", ""gender"", ""gender_id"", ""id"", ""skin_colour_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""CONDITIONAL""]",[],,
bird_604,codebase_community,moderate,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""posts"", ""users"", ""comments"", ""tags"", ""votes"", ""postHistory""]",positive-lexical,"[""posts"", ""users"", ""comments"", ""tags""]","[{""from_seed"": ""posts"", ""to_seed"": ""users"", ""path"": [""posts"", ""users""], ""added_tables"": []}, {""from_seed"": ""posts"", ""to_seed"": ""comments"", ""path"": [""posts"", ""comments""], ""added_tables"": []}, {""from_seed"": ""posts"", ""to_seed"": ""tags"", ""path"": [""posts"", ""tags""], ""added_tables"": []}, {""from_seed"": ""users"", ""to_seed"": ""comments"", ""path"": [""users"", ""comments""], ""added_tables"": []}, {""from_seed"": ""users"", ""to_seed"": ""tags"", ""path"": [""users"", ""posts"", ""tags""], ""added_tables"": []}, {""from_seed"": ""comments"", ""to_seed"": ""tags"", ""path"": [""comments"", ""posts"", ""tags""], ""added_tables"": []}]","[{""seed"": ""posts"", ""neighbour"": ""votes"", ""added"": true}, {""seed"": ""users"", ""neighbour"": ""postHistory"", ""added"": true}]","[{""table"": ""badges"", ""lexical_score"": 2, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}, {""table"": ""postLinks"", ""lexical_score"": 2, ""selection_reasons"": [], ""truncation_reason"": ""not_reached_before_max_tables_budget""}]","{""posts"": 5}","[""posts"", ""users""]","[""age"", ""id"", ""upvotes""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""GROUP_BY"", ""HAVING"", ""SUBQUERY""]",[],[],"[""posts"", ""users""]","[""age"", ""id"", ""owneruserid"", ""upvotes""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""HAVING"", ""SUBQUERY""]",[],,
bird_198,toxicology,challenging,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""bond"", ""molecule"", ""atom"", ""connected""]",positive-lexical,"[""bond"", ""molecule"", ""atom"", ""connected""]","[{""from_seed"": ""bond"", ""to_seed"": ""molecule"", ""path"": [""bond"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""atom"", ""path"": [""bond"", ""connected"", ""atom""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""connected"", ""path"": [""bond"", ""connected""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""atom"", ""path"": [""molecule"", ""atom""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""connected"", ""path"": [""molecule"", ""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""connected"", ""path"": [""atom"", ""connected""], ""added_tables"": []}]",[],[],{},"[""atom"", ""bond"", ""molecule""]","[""bond_type"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""GROUP_BY"", ""SUBQUERY""]",[],[],"[""atom"", ""bond"", ""molecule""]","[""atom_id"", ""bond_type"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""CONDITIONAL"", ""SUBQUERY""]",[],,
bird_208,toxicology,moderate,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""atom"", ""bond"", ""connected"", ""molecule""]",positive-lexical,"[""atom"", ""bond"", ""connected"", ""molecule""]","[{""from_seed"": ""atom"", ""to_seed"": ""bond"", ""path"": [""atom"", ""connected"", ""bond""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""connected"", ""path"": [""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""molecule"", ""path"": [""atom"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""connected"", ""path"": [""bond"", ""connected""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""molecule"", ""path"": [""bond"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""connected"", ""to_seed"": ""molecule"", ""path"": [""connected"", ""atom"", ""molecule""], ""added_tables"": []}]",[],[],{},"[""atom"", ""molecule""]","[""element"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT"", ""SUBQUERY""]",[],[],"[""atom"", ""molecule""]","[""element"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""]",[],,
bird_218,toxicology,challenging,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""atom"", ""bond"", ""molecule"", ""connected""]",positive-lexical,"[""atom"", ""bond"", ""molecule"", ""connected""]","[{""from_seed"": ""atom"", ""to_seed"": ""bond"", ""path"": [""atom"", ""connected"", ""bond""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""molecule"", ""path"": [""atom"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""connected"", ""path"": [""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""molecule"", ""path"": [""bond"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""connected"", ""path"": [""bond"", ""connected""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""connected"", ""path"": [""molecule"", ""atom"", ""connected""], ""added_tables"": []}]",[],[],{},"[""atom"", ""molecule""]","[""element"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""CONDITIONAL""]",[],[],"[""atom"", ""molecule""]","[""atom_id"", ""element"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""SUBQUERY""]",[],,
bird_219,toxicology,challenging,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""bond"", ""molecule"", ""atom"", ""connected""]",positive-lexical,"[""bond"", ""molecule"", ""atom"", ""connected""]","[{""from_seed"": ""bond"", ""to_seed"": ""molecule"", ""path"": [""bond"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""atom"", ""path"": [""bond"", ""connected"", ""atom""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""connected"", ""path"": [""bond"", ""connected""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""atom"", ""path"": [""molecule"", ""atom""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""connected"", ""path"": [""molecule"", ""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""connected"", ""path"": [""atom"", ""connected""], ""added_tables"": []}]",[],[],{},"[""atom"", ""bond"", ""molecule""]","[""bond_type"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""CONDITIONAL""]",[],[],"[""bond"", ""molecule""]","[""bond_id"", ""bond_type"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""]",[],,
bird_228,toxicology,moderate,False,retrieval_complete_mining_abstained_semantic_failure,unknown,,[],[],,e3-f-schema-v4,"[""atom"", ""bond"", ""connected"", ""molecule""]",positive-lexical,"[""atom"", ""bond"", ""connected"", ""molecule""]","[{""from_seed"": ""atom"", ""to_seed"": ""bond"", ""path"": [""atom"", ""connected"", ""bond""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""connected"", ""path"": [""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""molecule"", ""path"": [""atom"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""connected"", ""path"": [""bond"", ""connected""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""molecule"", ""path"": [""bond"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""connected"", ""to_seed"": ""molecule"", ""path"": [""connected"", ""atom"", ""molecule""], ""added_tables"": []}]",[],[],{},"[""atom""]","[""atom_id"", ""element"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""WHERE"", ""CONDITIONAL""]",[],[],"[""atom""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],,
bird_282,toxicology,challenging,True,correct,unknown,,[],[],,e3-f-schema-v4,"[""atom"", ""molecule"", ""bond"", ""connected""]",positive-lexical,"[""atom"", ""molecule"", ""bond"", ""connected""]","[{""from_seed"": ""atom"", ""to_seed"": ""molecule"", ""path"": [""atom"", ""molecule""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""bond"", ""path"": [""atom"", ""connected"", ""bond""], ""added_tables"": []}, {""from_seed"": ""atom"", ""to_seed"": ""connected"", ""path"": [""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""bond"", ""path"": [""molecule"", ""bond""], ""added_tables"": []}, {""from_seed"": ""molecule"", ""to_seed"": ""connected"", ""path"": [""molecule"", ""atom"", ""connected""], ""added_tables"": []}, {""from_seed"": ""bond"", ""to_seed"": ""connected"", ""path"": [""bond"", ""connected""], ""added_tables"": []}]",[],[],{},"[""atom"", ""molecule""]","[""atom_id"", ""element"", ""label"", ""molecule_id""]","[""SELECT"", ""DISTINCT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""CONDITIONAL"", ""CTE""]",[],[],"[""atom"", ""molecule""]","[""element"", ""label"", ""molecule_id""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""CONDITIONAL""]",[],,
