run_id,id,db_id,difficulty,wrong_turn,error_class,subcategory,control_flow_class,control_flow_subcategory,semantic_error_class,semantic_subcategory,sql_change_type,semantic_fix_idea,semantic_notes,fix_idea,notes
20260714T084417Z-0c187dc4,bird_1003,formula_1,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1011,formula_1,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1014,formula_1,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1029,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1031,european_football_2,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1039,european_football_2,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1044,european_football_2,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1058,european_football_2,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1076,european_football_2,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1079,european_football_2,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1088,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1091,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1092,european_football_2,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1094,european_football_2,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1103,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1107,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1113,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1114,european_football_2,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_112,financial,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1134,european_football_2,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1135,european_football_2,moderate,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1139,european_football_2,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1144,european_football_2,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_115,financial,challenging,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
20260714T084417Z-0c187dc4,bird_1155,thrombosis_prediction,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,"[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.NotFoundError: AzureException NotFoundError - The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.。"
