question_id,correct,verdict,sentences,PS,PG,FR,AC,UM,RC,SC,FAE
bird_1471,True,(答对或未判读),27,3,5,5,2,2,3,5,1
bird_1473,True,(答对或未判读),45,6,11,6,4,6,7,3,2
bird_1472,False,(答对或未判读),51,4,9,9,2,8,14,4,1
bird_1476,True,(答对或未判读),30,1,3,5,4,6,1,6,4
bird_1479,False,评测口径,66,6,9,13,10,14,5,8,1
bird_1481,False,双方,52,6,13,3,11,6,7,6,0
bird_1480,True,(答对或未判读),102,12,16,20,18,12,17,7,0
bird_1483,True,(答对或未判读),44,4,7,10,8,5,6,3,1
bird_1484,True,(答对或未判读),19,2,6,1,1,3,3,1,2
bird_1486,True,(答对或未判读),28,3,4,5,5,3,5,2,1
bird_1482,False,gold,156,13,35,24,14,18,27,20,5
bird_1493,True,(答对或未判读),20,2,2,3,5,2,3,2,1
bird_1498,False,模型,28,2,4,5,3,4,3,6,1
bird_1490,False,模型,118,15,29,10,5,15,24,17,3
bird_1500,True,(答对或未判读),99,9,22,10,3,16,22,14,3
bird_1505,False,(答对或未判读),48,4,13,8,2,6,11,3,1
bird_1501,False,(答对或未判读),86,6,24,17,2,11,19,5,2
bird_1507,True,(答对或未判读),25,2,5,4,2,5,4,2,1
bird_1506,False,(答对或未判读),42,2,11,7,1,14,6,0,1
bird_1509,True,(答对或未判读),13,2,2,1,2,2,0,2,2
bird_1521,True,(答对或未判读),10,2,3,0,3,0,0,0,2
bird_1515,True,(答对或未判读),25,2,7,5,1,6,1,3,0
bird_1514,True,(答对或未判读),29,3,6,5,2,6,3,4,0
bird_1526,True,不可评分,80,10,16,10,7,14,16,6,1
bird_1525,False,(答对或未判读),68,8,11,10,10,12,10,5,2
bird_1524,False,题面/schema缺失,92,8,15,17,8,21,14,5,4
bird_1528,True,(答对或未判读),13,1,5,1,1,1,2,2,0
bird_1531,False,双方,23,3,7,2,3,5,2,1,0
bird_1312,True,(答对或未判读),7,1,1,0,0,2,2,0,1
bird_1533,True,(答对或未判读),51,7,10,6,4,5,9,7,3
bird_1317,True,(答对或未判读),12,3,4,1,0,1,2,1,0
bird_1322,False,gold,37,3,9,4,5,6,6,2,2
bird_1529,False,模型,144,18,24,35,12,11,29,12,3
bird_1331,True,(答对或未判读),26,1,8,4,3,1,4,4,1
bird_1323,True,(答对或未判读),73,4,12,9,7,8,19,10,4
bird_1334,True,(答对或未判读),17,1,2,5,1,2,4,2,0
bird_1339,True,(答对或未判读),35,2,6,10,2,2,3,10,0
bird_1340,True,(答对或未判读),36,1,9,11,2,7,1,5,0
bird_1338,True,(答对或未判读),56,9,13,8,7,5,9,5,0
bird_1344,True,(答对或未判读),9,2,3,1,0,0,1,2,0
bird_1346,True,(答对或未判读),5,0,1,0,0,3,1,0,0
bird_1351,True,(答对或未判读),10,3,4,0,0,0,1,0,2
bird_1352,True,(答对或未判读),19,2,7,1,2,1,2,3,1
bird_1350,True,(答对或未判读),56,6,14,9,5,7,6,5,4
bird_1356,True,(答对或未判读),26,4,5,4,0,4,5,2,2
bird_1357,True,(答对或未判读),5,1,2,1,0,1,0,0,0
bird_1361,True,(答对或未判读),10,2,1,1,1,2,2,0,1
bird_1359,True,(答对或未判读),25,2,4,5,4,2,3,4,1
bird_1362,True,(答对或未判读),26,2,7,3,2,7,3,2,0
bird_1368,True,(答对或未判读),20,3,4,2,1,4,1,3,1
bird_1371,True,(答对或未判读),10,2,1,0,1,3,1,1,1
bird_1375,True,(答对或未判读),21,1,3,3,2,5,2,4,1
bird_1378,True,(答对或未判读),18,0,9,3,1,2,0,1,2
bird_1380,True,(答对或未判读),9,2,2,0,1,3,0,1,0
bird_1381,False,评测口径,21,1,5,1,2,3,6,2,1
bird_1376,True,(答对或未判读),80,6,23,12,3,13,15,6,2
bird_1389,True,(答对或未判读),9,1,2,1,2,0,1,2,0
bird_1390,True,(答对或未判读),40,2,13,8,4,5,6,2,0
bird_1392,True,(答对或未判读),14,3,2,4,0,2,3,0,0
bird_1398,True,(答对或未判读),19,1,4,3,1,2,1,3,4
bird_1394,True,(答对或未判读),26,4,6,4,2,2,3,5,0
bird_1387,True,(答对或未判读),122,8,25,17,5,26,27,13,1
bird_1399,False,双方,37,1,7,7,5,7,2,7,1
bird_1401,True,(答对或未判读),10,1,4,2,1,1,0,1,0
bird_1403,True,(答对或未判读),19,3,5,1,2,1,3,3,1
bird_1409,True,(答对或未判读),16,1,5,2,2,2,2,2,0
bird_1405,True,(答对或未判读),20,2,4,4,3,2,2,1,2
bird_1404,False,gold,45,3,13,5,3,13,5,3,0
bird_1410,True,(答对或未判读),31,2,11,4,4,7,0,3,0
bird_1411,True,(答对或未判读),6,0,2,2,0,0,0,2,0
bird_1426,True,(答对或未判读),11,1,5,1,0,1,0,3,0
bird_1422,False,gold,75,9,10,9,5,17,16,4,5
bird_1435,True,(答对或未判读),34,5,8,7,2,5,4,2,1
bird_1427,False,gold,79,9,16,11,5,10,11,14,3
bird_1457,True,(答对或未判读),11,1,5,3,1,1,0,0,0
bird_1464,True,(答对或未判读),13,2,1,1,2,2,1,1,3
bird_1460,True,(答对或未判读),92,8,13,16,7,22,17,8,1
bird_1432,True,(答对或未判读),166,18,31,21,21,20,29,25,1
bird_1149,False,(答对或未判读),44,3,11,7,4,5,4,7,3
bird_1150,True,(答对或未判读),44,3,10,6,7,9,4,5,0
bird_1152,True,(答对或未判读),51,3,7,10,9,8,4,8,2
bird_1153,True,(答对或未判读),52,4,9,8,7,8,7,8,1
bird_1155,True,(答对或未判读),15,2,5,0,2,3,1,2,0
bird_1156,True,(答对或未判读),30,1,6,7,0,5,10,0,1
bird_1162,True,(答对或未判读),37,2,11,7,2,4,3,6,2
bird_1164,True,(答对或未判读),7,2,1,2,1,0,0,1,0
bird_1157,True,(答对或未判读),87,9,15,18,2,5,24,9,4
bird_1169,True,(答对或未判读),44,4,9,7,7,1,8,8,0
bird_1171,False,(答对或未判读),75,10,8,20,5,13,12,6,1
bird_1166,False,题面歧义,186,20,28,28,15,29,43,18,5
bird_1179,False,gold,66,3,22,9,2,14,11,5,0
bird_1175,False,双方,152,14,30,20,15,25,26,18,4
bird_1187,True,(答对或未判读),18,3,4,2,3,1,2,2,1
bird_1185,True,(答对或未判读),59,5,12,16,3,10,3,6,4
bird_1189,True,模型,13,2,5,2,0,2,2,0,0
bird_1192,True,(答对或未判读),40,6,6,6,2,4,9,4,3
bird_1198,True,(答对或未判读),10,4,2,1,1,0,0,2,0
bird_1201,True,(答对或未判读),30,3,6,6,3,3,3,5,1
bird_1209,True,(答对或未判读),71,7,13,13,3,6,17,7,5
bird_1195,True,(答对或未判读),113,6,23,26,7,15,23,11,2
bird_1220,True,(答对或未判读),24,0,6,3,4,1,4,5,1
bird_1225,False,gold,9,1,4,0,0,1,0,2,1
bird_1229,True,harness改写,15,2,2,4,2,0,3,1,1
bird_1205,False,gold,160,14,32,22,6,30,33,20,3
