id,db_id,difficulty,correct,diagnostic,mining_artifact_version,mining_selection_mode,mining_selected_item_ids,mining_selected_items,mining_abstained,schema_artifact_version,schema_selected_tables,schema_seed_mode,schema_seeds,schema_path_expansions,schema_fk_neighbour_expansions,schema_truncated_tables,schema_columns_truncated,gold_tables,gold_columns,gold_shape,gold_detail_table_misses,gold_detail_column_name_misses,final_tables,final_columns,final_shape,final_tables_outside_detailed_context,predicted_sql_parse_error,gold_sql_parse_error
bird_1471,debit_card_specializing,simple,True,correct,train-mined-v1,positive_score_top_k,"[""qm-2b9b55fbb833"", ""qm-d9e6165d3c7a"", ""qm-593296c477cc""]","[{""rank"": 1, ""pattern_id"": ""qm-2b9b55fbb833"", ""support"": 10, ""retrieval_score"": 10.6, ""retrieval_reasons"": [""term:customers"", ""cue:ratio""], ""shape"": [""SELECT"", ""AGGREGATE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-d9e6165d3c7a"", ""support"": 5, ""retrieval_score"": 10.6, ""retrieval_reasons"": [""term:ratio"", ""cue:ratio""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-593296c477cc"", ""support"": 19, ""retrieval_score"": 10.0947, ""retrieval_reasons"": [""term:ratio"", ""cue:ratio""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""customers"", ""yearmonth"", ""gasstations"", ""products"", ""transactions_1k""]",positive-lexical,"[""customers""]",[],"[{""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": true}]",[],{},"[""customers""]",[],"[""SELECT"", ""AGGREGATE""]",[],[],"[""customers""]",[],"[""SELECT"", ""AGGREGATE"", ""CONDITIONAL""]",[],,
bird_1472,debit_card_specializing,moderate,True,correct,train-mined-v1,positive_score_top_k,"[""qm-1047269e3ba0"", ""qm-208cc6ce5b86"", ""qm-2f9e1480c46e""]","[{""rank"": 1, ""pattern_id"": ""qm-1047269e3ba0"", ""support"": 20, ""retrieval_score"": 14.2, ""retrieval_reasons"": [""term:first"", ""term:least"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""JOIN[2+]"", ""WHERE"", ""ORDER_BY[ASC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-208cc6ce5b86"", ""support"": 39, ""retrieval_score"": 13.759, ""retrieval_reasons"": [""term:date"", ""term:had"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""JOIN[1]"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-2f9e1480c46e"", ""support"": 6, ""retrieval_score"": 13.6667, ""retrieval_reasons"": [""cue:top_bottom""], ""shape"": [""SELECT"", ""JOIN[2+]"", ""WHERE"", ""ORDER_BY[DESC]"", ""LIMIT"", ""SUBQUERY""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations"", ""products""]",positive-lexical,"[""yearmonth"", ""customers"", ""transactions_1k""]","[{""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}]","[{""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": false}, {""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": false}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC]"", ""LIMIT""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC]"", ""LIMIT""]",[],,
bird_1480,debit_card_specializing,moderate,False,retrieval_complete_with_mined_items_semantic_failure,train-mined-v1,positive_score_top_k,"[""qm-b3429ba0f5c6"", ""qm-2ec339910f9d"", ""qm-eed9e5b8a15d""]","[{""rank"": 1, ""pattern_id"": ""qm-b3429ba0f5c6"", ""support"": 6, ""retrieval_score"": 1.3333, ""retrieval_reasons"": [""cue:time""], ""shape"": [""SELECT"", ""WHERE"", ""SUBQUERY""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-2ec339910f9d"", ""support"": 86, ""retrieval_score"": 1.2372, ""retrieval_reasons"": [""term:first"", ""term:year"", ""cue:time""], ""shape"": [""SELECT"", ""DISTINCT"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-eed9e5b8a15d"", ""support"": 414, ""retrieval_score"": 1.1729, ""retrieval_reasons"": [""term:date"", ""term:year"", ""cue:time""], ""shape"": [""SELECT"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations"", ""products""]",positive-lexical,"[""yearmonth"", ""customers"", ""transactions_1k"", ""gasstations""]","[{""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}]","[{""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": false}, {""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": false}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC/DESC]"", ""LIMIT""]",[],,
bird_1481,debit_card_specializing,challenging,False,retrieval_complete_with_mined_items_semantic_failure,train-mined-v1,positive_score_top_k,"[""qm-90d9b7e8e589"", ""qm-470a902d45f7"", ""qm-2a9cd694690f""]","[{""rank"": 1, ""pattern_id"": ""qm-90d9b7e8e589"", ""support"": 5, ""retrieval_score"": 26.2, ""retrieval_reasons"": [""term:amount"", ""term:total"", ""cue:aggregate"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-470a902d45f7"", ""support"": 13, ""retrieval_score"": 25.7077, ""retrieval_reasons"": [""term:amount"", ""term:number"", ""cue:aggregate"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-2a9cd694690f"", ""support"": 22, ""retrieval_score"": 24.6727, ""retrieval_reasons"": [""term:customer"", ""term:number"", ""cue:aggregate"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations"", ""products""]",positive-lexical,"[""customers"", ""transactions_1k"", ""yearmonth"", ""gasstations""]","[{""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": false}, {""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": false}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""SUBQUERY""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""GROUP_BY"", ""SUBQUERY"", ""CTE""]",[],,
bird_1482,debit_card_specializing,challenging,False,retrieval_complete_with_mined_items_semantic_failure,train-mined-v1,positive_score_top_k,"[""qm-9f4900914966"", ""qm-731c98cbbf22"", ""qm-a4d157ca0de7""]","[{""rank"": 1, ""pattern_id"": ""qm-9f4900914966"", ""support"": 5, ""retrieval_score"": 22.4, ""retrieval_reasons"": [""term:percentage"", ""cue:ratio"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT"", ""SUBQUERY""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-731c98cbbf22"", ""support"": 5, ""retrieval_score"": 20.6, ""retrieval_reasons"": [""cue:ratio"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT"", ""SUBQUERY""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-a4d157ca0de7"", ""support"": 8, ""retrieval_score"": 20.2, ""retrieval_reasons"": [""term:year"", ""cue:ratio"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""customers"", ""yearmonth"", ""transactions_1k"", ""gasstations"", ""products""]",positive-lexical,"[""customers"", ""yearmonth"", ""transactions_1k""]","[{""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": false}, {""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": false}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid"", ""date"", ""segment""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[ASC/DESC]"", ""LIMIT"", ""CONDITIONAL"", ""SUBQUERY"", ""CTE"", ""SET_OP""]",[],,
bird_1483,debit_card_specializing,simple,True,correct,train-mined-v1,positive_score_top_k,"[""qm-43152f73815d"", ""qm-4afac1387ef2"", ""qm-a173ff3b9898""]","[{""rank"": 1, ""pattern_id"": ""qm-43152f73815d"", ""support"": 34, ""retrieval_score"": 14.4, ""retrieval_reasons"": [""term:between"", ""term:year"", ""cue:aggregate""], ""shape"": [""SELECT"", ""AGGREGATE"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-4afac1387ef2"", ""support"": 11, ""retrieval_score"": 14.2, ""retrieval_reasons"": [""term:year"", ""cue:aggregate""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-a173ff3b9898"", ""support"": 9, ""retrieval_score"": 14.2, ""retrieval_reasons"": [""term:year"", ""cue:aggregate""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""SUBQUERY""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""transactions_1k"", ""yearmonth"", ""customers"", ""gasstations"", ""products""]",positive-lexical,"[""transactions_1k"", ""yearmonth"", ""customers""]","[{""from_seed"": ""yearmonth"", ""to_seed"": ""customers"", ""path"": [""yearmonth"", ""customers""], ""added_tables"": []}]","[{""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": false}, {""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": false}]",[],{},"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],[],"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],,
bird_1498,debit_card_specializing,simple,False,retrieval_complete_with_mined_items_semantic_failure,train-mined-v1,positive_score_top_k,"[""qm-f1f190aa91ef"", ""qm-a4d157ca0de7"", ""qm-90d9b7e8e589""]","[{""rank"": 1, ""pattern_id"": ""qm-f1f190aa91ef"", ""support"": 7, ""retrieval_score"": 16.4857, ""retrieval_reasons"": [""term:year"", ""cue:time"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[2+]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-a4d157ca0de7"", ""support"": 8, ""retrieval_score"": 16.4, ""retrieval_reasons"": [""term:highest"", ""term:year"", ""cue:time"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-90d9b7e8e589"", ""support"": 5, ""retrieval_score"": 15.8, ""retrieval_reasons"": [""term:highest"", ""cue:time"", ""cue:top_bottom""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""yearmonth"", ""transactions_1k"", ""customers"", ""gasstations"", ""products""]",positive-lexical,"[""yearmonth"", ""transactions_1k""]",[],"[{""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": true}]",[],{},"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE"", ""GROUP_BY"", ""ORDER_BY[DESC]"", ""LIMIT""]",[],[],"[""yearmonth""]",[],"[""SELECT"", ""AGGREGATE"", ""WHERE""]",[],,
bird_1500,debit_card_specializing,simple,False,retrieval_complete_with_mined_items_semantic_failure,train-mined-v1,positive_score_top_k,"[""qm-eed9e5b8a15d"", ""qm-468293dbc3d1"", ""qm-2ec339910f9d""]","[{""rank"": 1, ""pattern_id"": ""qm-eed9e5b8a15d"", ""support"": 414, ""retrieval_score"": 0.6, ""retrieval_reasons"": [""term:date"", ""term:please"", ""term:year""], ""shape"": [""SELECT"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-468293dbc3d1"", ""support"": 110, ""retrieval_score"": 0.6, ""retrieval_reasons"": [""term:please"", ""term:product"", ""term:products""], ""shape"": [""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-2ec339910f9d"", ""support"": 86, ""retrieval_score"": 0.6, ""retrieval_reasons"": [""term:first"", ""term:please"", ""term:year""], ""shape"": [""SELECT"", ""DISTINCT"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""products"", ""transactions_1k"", ""yearmonth"", ""customers"", ""gasstations""]",positive-lexical,"[""products"", ""transactions_1k"", ""yearmonth""]",[],"[{""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": true}]",[],{},"[""products"", ""transactions_1k"", ""yearmonth""]","[""customerid"", ""date"", ""description"", ""productid""]","[""SELECT"", ""JOIN[2+]"", ""WHERE""]",[],[],"[""products"", ""transactions_1k""]","[""date"", ""description"", ""productid""]","[""SELECT"", ""DISTINCT"", ""JOIN[1]"", ""WHERE""]",[],,
bird_1505,debit_card_specializing,simple,False,retrieval_complete_with_mined_items_semantic_failure,train-mined-v1,positive_score_top_k,"[""qm-4afac1387ef2"", ""qm-a173ff3b9898"", ""qm-cb513ceccfc8""]","[{""rank"": 1, ""pattern_id"": ""qm-4afac1387ef2"", ""support"": 11, ""retrieval_score"": 16.9091, ""retrieval_reasons"": [""cue:aggregate"", ""cue:time""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-a173ff3b9898"", ""support"": 9, ""retrieval_score"": 15.7778, ""retrieval_reasons"": [""cue:aggregate"", ""cue:time""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""SUBQUERY""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-cb513ceccfc8"", ""support"": 5, ""retrieval_score"": 15.6, ""retrieval_reasons"": [""cue:aggregate"", ""cue:time""], ""shape"": [""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE"", ""GROUP_BY""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""customers"", ""yearmonth"", ""gasstations"", ""products"", ""transactions_1k""]",positive-lexical,"[""customers"", ""yearmonth""]","[{""from_seed"": ""customers"", ""to_seed"": ""yearmonth"", ""path"": [""customers"", ""yearmonth""], ""added_tables"": []}]","[{""seed"": ""customers"", ""neighbour"": ""yearmonth"", ""added"": false}, {""seed"": ""yearmonth"", ""neighbour"": ""customers"", ""added"": false}]",[],{},"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""]",[],[],"[""customers"", ""yearmonth""]","[""consumption"", ""currency"", ""customerid""]","[""SELECT"", ""AGGREGATE"", ""JOIN[1]"", ""WHERE""]",[],,
bird_1506,debit_card_specializing,moderate,True,correct,train-mined-v1,positive_score_top_k,"[""qm-468293dbc3d1"", ""qm-dd130cd9999a"", ""qm-5f0777803658""]","[{""rank"": 1, ""pattern_id"": ""qm-468293dbc3d1"", ""support"": 110, ""retrieval_score"": 0.6, ""retrieval_reasons"": [""term:country"", ""term:please"", ""term:product""], ""shape"": [""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 2, ""pattern_id"": ""qm-dd130cd9999a"", ""support"": 1284, ""retrieval_score"": 0.4, ""retrieval_reasons"": [""term:country"", ""term:please""], ""shape"": [""SELECT"", ""JOIN[1]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}, {""rank"": 3, ""pattern_id"": ""qm-5f0777803658"", ""support"": 420, ""retrieval_score"": 0.4, ""retrieval_reasons"": [""term:country"", ""term:please""], ""shape"": [""SELECT"", ""JOIN[2+]"", ""WHERE""], ""selected"": true, ""exclusion_reason"": null}]",,e3-f-schema-v3,"[""gasstations"", ""transactions_1k"", ""products"", ""customers"", ""yearmonth""]",positive-lexical,"[""gasstations"", ""transactions_1k"", ""products""]",[],[],[],{},"[""gasstations"", ""products"", ""transactions_1k""]","[""country"", ""description"", ""gasstationid"", ""productid""]","[""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE""]",[],[],"[""gasstations"", ""products"", ""transactions_1k""]","[""country"", ""description"", ""gasstationid"", ""productid""]","[""SELECT"", ""DISTINCT"", ""JOIN[2+]"", ""WHERE"", ""ORDER_BY[ASC]""]",[],,
