question_id,db_id,verdict,sentences,PS,PG,FR,AC,UM,RC,SC,FAE
bird_944,formula_1,不可评分,211,19,42,35,21,35,37,18,4
bird_1482,debit_card_specializing,gold,184,20,42,26,17,26,26,24,3
bird_1011,formula_1,harness改写,183,19,30,26,21,21,40,22,4
bird_1148,european_football_2,"(本轮新错,未判读)",180,16,31,29,16,23,41,24,0
bird_371,card_games,"(本轮新错,未判读)",173,16,51,19,17,18,33,17,2
bird_1529,debit_card_specializing,模型,171,18,34,25,3,39,37,14,1
bird_1524,debit_card_specializing,题面/schema缺失,165,12,31,21,9,31,38,18,5
bird_1168,thrombosis_prediction,gold,165,21,28,30,21,21,36,7,0
bird_1014,formula_1,gold,156,14,40,25,9,23,34,10,1
bird_36,california_schools,gold,155,13,36,15,10,26,36,17,1
bird_1029,european_football_2,gold,150,20,27,16,10,22,31,21,3
bird_967,formula_1,gold,149,11,31,20,16,24,23,20,4
bird_25,california_schools,双方,146,19,18,20,14,38,24,13,0
bird_159,financial,题面歧义,146,14,19,22,7,38,28,14,3
bird_194,financial,题面歧义,143,9,25,21,17,29,23,19,0
bird_1490,debit_card_specializing,模型,135,6,23,20,17,30,29,10,0
bird_866,formula_1,模型,130,18,22,18,9,31,21,9,2
bird_414,card_games,"(本轮新错,未判读)",130,13,29,24,4,33,19,6,2
bird_87,california_schools,评测口径,130,10,21,20,17,22,28,10,2
bird_1166,thrombosis_prediction,题面歧义,127,16,25,17,7,22,29,8,3
bird_201,toxicology,模型,122,7,23,22,10,15,32,13,0
bird_1136,european_football_2,gold,118,17,16,13,11,18,21,18,4
bird_28,california_schools,双方,116,7,21,27,8,13,20,19,1
bird_1526,debit_card_specializing,不可评分,114,9,18,17,16,18,20,14,2
bird_937,formula_1,题面歧义,114,13,14,25,7,16,15,22,2
bird_248,toxicology,gold,114,7,21,14,4,17,38,12,1
bird_1058,european_football_2,双方,113,19,23,12,8,14,21,14,2
bird_1255,thrombosis_prediction,gold,112,8,20,16,10,15,26,14,3
bird_897,formula_1,"(本轮新错,未判读)",109,12,16,21,10,14,22,12,2
bird_959,formula_1,模型,107,10,27,19,6,10,22,10,3
bird_1505,debit_card_specializing,"(本轮新错,未判读)",104,8,22,16,5,20,20,12,1
bird_341,card_games,双方,103,9,15,14,11,16,24,12,2
bird_1175,thrombosis_prediction,双方,100,10,15,16,6,16,24,11,2
bird_1195,thrombosis_prediction,"(本轮新错,未判读)",98,7,12,15,13,22,19,9,1
bird_1404,student_club,gold,97,8,15,13,8,20,21,10,2
bird_94,financial,题面歧义,97,6,14,12,11,22,21,8,3
bird_465,card_games,模型,96,9,22,12,7,14,20,10,2
bird_26,california_schools,双方,95,10,19,17,7,14,15,11,2
bird_85,california_schools,评测口径,95,16,15,13,6,15,21,6,3
bird_48,california_schools,模型,93,12,10,15,12,13,15,15,1
bird_1094,european_football_2,gold,88,8,18,22,6,12,11,8,3
