id,semantic_error_class,semantic_subcategory,reviewed_attribution
bird_1480,OUTPUT_CONTRACT,month_output_transformation,"应输出峰值月份 MM，预测返回完整 YYYYMM。"
bird_1481,AGGREGATION_REASONING,minimum_and_average_scope,"把全局最低消费和题目要求的分段差值改成了每段年度总消费最小值后的平均。"
bird_1482,AGGREGATION_REASONING,percentage_denominator_and_shape,"增长率分母误用 2013，且返回最大/最小段落而不是三个 segment 的三个百分比。"
bird_1498,AGGREGATION_REASONING,monthly_peak_granularity,"使用单条 Consumption 的 MAX，没有先按月份 SUM 再取峰值。"
bird_1500,SCHEMA_LINKING,missing_time_bridge_join,"用 transactions.Date 过滤，gold 需要经 CustomerID Join yearmonth.Date。"
bird_1505,AGGREGATION_REASONING,row_count_vs_distinct_customer,"预测 COUNT DISTINCT customer，gold 统计满足条件的月记录行。"
bird_1524,SCHEMA_LINKING,wrong_entity_attribute,"把 nationality 解释成 customers.Currency；gold 取 gasstations.Country，价格条件也被改写。"
bird_1529,SCHEMA_LINKING,wrong_measure_and_join_path,"把支出写成 Amount*Price 和 yearmonth.Consumption；gold 使用 transactions.Price 并连接 gasstations/yearmonth。"
bird_1531,AGGREGATION_REASONING,top_customer_selection_and_average_formula,"按交易总额选 top customer 并用加权均价；gold 按 yearmonth.Consumption 选客户并计算 SUM(Price/Amount)。"
bird_1322,SEMANTIC_REVIEW_REQUIRED,question_gold_set_semantics_conflict,"预测按题面统计 Meeting；gold 返回参加人数>10的事件减去 Meeting，题面与 gold 语义冲突，需要人工裁决。"
bird_1338,OUTPUT_CONTRACT,extra_output_column,"预测额外返回 expense_description；gold 只返回 approved。"
bird_1399,OUTPUT_CONTRACT,yes_no_row_semantics,"预测单个 EXISTS Yes/No；gold 对该成员参加的事件逐行投影条件 CASE。"
bird_1427,OUTPUT_CONTRACT,missing_output_column,"预测只返回 budget.category；gold 同时要求 category 与 event.type。"
bird_1166,SCHEMA_LINKING,column_owner_mismatch,"Symptoms 与 Diagnosis 的所属表反置；gold 从 Examination 取 Symptoms、从 Patient 取 Diagnosis。"
bird_1168,OUTPUT_CONTRACT,missing_birthday_column,"预测只返回日期和到院年龄；gold 还返回 Birthday，且 SJS 过滤边界不同。"
bird_1169,RUNNER_OR_API,azure_policy_bad_request,"模型请求被 Azure 内容策略拒绝，没有生成 SQL。"
bird_1175,SCHEMA_LINKING,date_and_diagnosis_owner_mismatch,"年龄日期和 Diagnosis 使用了 Examination 字段；gold 使用 Laboratory.Date 与 Patient.Diagnosis。"
bird_1179,OUTPUT_CONTRACT,missing_antibody_columns,"预测只返回 aCL IgM；gold 要求 aCL IgA、IgG、IgM 三列。"
bird_1205,OUTPUT_CONTRACT,boolean_encoding_and_scope,"预测用 EXISTS 返回字符串 Yes/No；gold 返回目标患者该行的布尔表达式。"
bird_1225,OUTPUT_CONTRACT,group_concat_vs_rows,"预测每个性别返回 GROUP_CONCAT ID；gold 每位患者返回 ID、SEX 两列并分组。"
bird_1239,SEMANTIC_REVIEW_REQUIRED,count_boundary_and_age_reference,"预测 HAVING COUNT>2 而 gold 为 >=2，年龄计算表达式也不同。"
bird_1241,OUTPUT_CONTRACT,extra_component_output,"gold 只返回低于正常数减高于正常数；预测额外输出低值人数，并改变边界。"
bird_1242,SEMANTIC_REVIEW_REQUIRED,age_reference_date,"预测用当前时间算年龄；gold 用 1984 年检查日期减生日。"
bird_1243,AGGREGATION_REASONING,percentage_denominator,"百分比的分母聚合与 gold 不一致；同时 trace 的 execution observation 无法解析。"
bird_1247,SEMANTIC_REVIEW_REQUIRED,boolean_precedence,"预测给异常 FG 条件加括号；gold 的 OR/AND 优先级形成不同过滤范围。"
bird_1251,SCHEMA_LINKING,missing_patient_examination_joins,"预测只读取 Laboratory；gold 通过 Patient、Laboratory、Examination 三表确定患者集合。"
bird_1252,AGGREGATION_REASONING,distinct_and_boundary_semantics,"预测 COUNT DISTINCT 且使用严格边界；gold COUNT 行并使用 BETWEEN，Join multiplicity 不同。"
bird_1254,SEMANTIC_REVIEW_REQUIRED,inclusive_boundary_and_year_filter,"预测 IgA 严格区间且 First Date>=1990；gold 使用 BETWEEN 且年份>1990。"
bird_1265,SEMANTIC_REVIEW_REQUIRED,value_encoding_and_boolean_precedence,"预测正常 RNP 值为 -/+-；gold 使用 negative/0，且 Admission 的 AND/OR 作用域不同。"
bird_1267,AGGREGATION_REASONING,distinct_count_semantics,"过滤条件基本一致，但预测 COUNT DISTINCT，gold COUNT 行。"
bird_1029,AGGREGATION_REASONING,grouping_and_order_scope,"预测按球队取 MAX 后降序；gold 直接按 buildUpPlaySpeed 升序取 4 行，输出列数也不同。"
bird_1031,SEMANTIC_REVIEW_REQUIRED,age_expression_and_timeout,"预测按当前日期精确算年龄且 SQL 超时；gold 使用不同年龄表达式和 DISTINCT，需要结合评测语义复核。"
