run_id,id,db_id,difficulty,step_index,event_sequence,turn,action_type,sql,tables,projection_count,sql_delta_from_previous,observation_state,result_matches_gold,transition_type,is_first_nonmatching_execution,retrieval_diagnostic,semantic_error_class,semantic_subcategory,state_payload
20260714T090249Z-4d55cdb8,bird_1472,debit_card_specializing,moderate,1,4,2,FINAL,"SELECT y.CustomerID FROM yearmonth AS y JOIN customers AS c ON y.CustomerID = c.CustomerID WHERE c.Segment = 'LAM' AND y.Date BETWEEN '201201' AND '201212' ORDER BY y.Consumption ASC, y.CustomerID ASC LIMIT 1","[""customers"", ""yearmonth""]",1,initial_sql,benchmark_nonmatching_final,false,final_without_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T090249Z-4d55cdb8,bird_1481,debit_card_specializing,challenging,1,3,2,db.execute,"WITH annual AS (
  SELECT
    c.Segment,
    ym.CustomerID,
    SUM(ym.Consumption) AS annual_consumption
  FROM yearmonth AS ym
  JOIN customers AS c
    ON ym.CustomerID = c.CustomerID
  WHERE c.Currency = 'CZK'
    AND c.Segment IN ('SME', 'LAM', 'KAM')
    AND ym.Date BETWEEN '201301' AND '201312'
  GROUP BY c.Segment, ym.CustomerID
),
segment_min AS (
  SELECT
    Segment,
    MIN(annual_consumption) AS min_annual_consumption
  FROM annual
  GROUP BY Segment
),
segment_avg AS (
  SELECT
    a.Segment,
    AVG(a.annual_consumption) AS annual_avg_consumption
  FROM annual AS a
  JOIN segment_min AS m
    ON a.Segment = m.Segment
   AND a.annual_consumption = m.min_annual_consumption
  GROUP BY a.Segment
)
SELECT
  (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'SME')
  - (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'LAM') AS difference_sme_lam,
  (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'LAM')
  - (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'KAM') AS difference_lam_kam,
  (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'KAM')
  - (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'SME') AS difference_kam_sme;","[""annual"", ""customers"", ""segment_avg"", ""segment_min"", ""yearmonth""]",,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T090249Z-4d55cdb8,bird_1481,debit_card_specializing,challenging,2,4,2,FINAL,"WITH annual AS (SELECT c.Segment, ym.CustomerID, SUM(ym.Consumption) AS annual_consumption FROM yearmonth AS ym JOIN customers AS c ON ym.CustomerID = c.CustomerID WHERE c.Currency = 'CZK' AND c.Segment IN ('SME', 'LAM', 'KAM') AND ym.Date BETWEEN '201301' AND '201312' GROUP BY c.Segment, ym.CustomerID), segment_min AS (SELECT Segment, MIN(annual_consumption) AS min_annual_consumption FROM annual GROUP BY Segment), segment_avg AS (SELECT a.Segment, AVG(a.annual_consumption) AS annual_avg_consumption FROM annual AS a JOIN segment_min AS m ON a.Segment = m.Segment AND a.annual_consumption = m.min_annual_consumption GROUP BY a.Segment) SELECT (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'SME') - (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'LAM') AS difference_sme_lam, (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'LAM') - (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'KAM') AS difference_lam_kam, (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'KAM') - (SELECT annual_avg_consumption FROM segment_avg WHERE Segment = 'SME') AS difference_kam_sme;","[""annual"", ""customers"", ""segment_avg"", ""segment_min"", ""yearmonth""]",,expression_or_projection,benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T090249Z-4d55cdb8,bird_1482,debit_card_specializing,challenging,1,3,2,db.execute,"SELECT c.Segment,
       SUM(CASE WHEN substr(y.Date,1,4)='2012' THEN y.Consumption ELSE 0 END) AS cons_2012,
       SUM(CASE WHEN substr(y.Date,1,4)='2013' THEN y.Consumption ELSE 0 END) AS cons_2013
FROM yearmonth y
JOIN customers c ON y.CustomerID = c.CustomerID
WHERE c.Currency = 'EUR'
  AND c.Segment IN ('SME','LAM','KAM')
  AND substr(y.Date,1,4) IN ('2012','2013')
GROUP BY c.Segment
ORDER BY c.Segment;","[""customers"", ""yearmonth""]",3,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,OUTPUT_CONTRACT,output_column_count_mismatch,
20260714T090249Z-4d55cdb8,bird_1482,debit_card_specializing,challenging,2,4,3,FINAL,"WITH segment_totals AS (SELECT c.Segment, SUM(CASE WHEN substr(y.Date, 1, 4) = '2012' THEN y.Consumption ELSE 0 END) AS cons_2012, SUM(CASE WHEN substr(y.Date, 1, 4) = '2013' THEN y.Consumption ELSE 0 END) AS cons_2013 FROM yearmonth y JOIN customers c ON y.CustomerID = c.CustomerID WHERE c.Currency = 'EUR' AND c.Segment IN ('SME', 'LAM', 'KAM') AND substr(y.Date, 1, 4) IN ('2012', '2013') GROUP BY c.Segment), pct AS (SELECT Segment, (cons_2013 - cons_2012) * 100.0 / NULLIF(cons_2013, 0) AS pct_increase FROM segment_totals), max_seg AS (SELECT Segment, 1 AS ord FROM pct ORDER BY pct_increase DESC LIMIT 1), min_seg AS (SELECT Segment, 2 AS ord FROM pct ORDER BY pct_increase ASC LIMIT 1), combined AS (SELECT Segment, ord FROM max_seg UNION ALL SELECT Segment, ord FROM min_seg) SELECT Segment FROM combined ORDER BY ord;","[""combined"", ""customers"", ""max_seg"", ""min_seg"", ""pct"", ""segment_totals"", ""yearmonth""]",1,"tables_or_join,projection_count,limit",benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,OUTPUT_CONTRACT,output_column_count_mismatch,
20260714T090249Z-4d55cdb8,bird_1498,debit_card_specializing,simple,1,1,1,db.execute,"SELECT MAX(Consumption) AS HighestMonthlyConsumption FROM yearmonth WHERE substr(Date,1,4) = '2012';","[""yearmonth""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T090249Z-4d55cdb8,bird_1498,debit_card_specializing,simple,2,2,1,FINAL,"SELECT MAX(Consumption) AS HighestMonthlyConsumption FROM yearmonth WHERE substr(Date,1,4) = '2012'","[""yearmonth""]",1,unchanged,benchmark_nonmatching_final,false,final_same_as_last_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T090249Z-4d55cdb8,bird_1505,debit_card_specializing,simple,1,1,1,db.execute,SELECT COUNT(DISTINCT c.CustomerID) AS cnt FROM customers AS c INNER JOIN yearmonth AS y ON c.CustomerID = y.CustomerID WHERE c.Currency = 'EUR' AND y.Consumption > 1000,"[""customers"", ""yearmonth""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SEMANTIC_REVIEW_REQUIRED,filter_scope_or_expression_mismatch,
20260714T090249Z-4d55cdb8,bird_1505,debit_card_specializing,simple,2,2,2,FINAL,SELECT COUNT(DISTINCT T1.CustomerID) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'EUR' AND T2.Consumption > 1000,"[""customers"", ""yearmonth""]",1,expression_or_projection,benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,SEMANTIC_REVIEW_REQUIRED,filter_scope_or_expression_mismatch,
20260714T090249Z-4d55cdb8,bird_1524,debit_card_specializing,simple,1,1,1,db.execute,PRAGMA table_info(transactions_1k),[],,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
