run_id,id,db_id,difficulty,wrong_turn,error_class,subcategory,control_flow_class,control_flow_subcategory,semantic_error_class,semantic_subcategory,sql_change_type,semantic_fix_idea,semantic_notes,fix_idea,notes
20260807T190432Z-be9ec270,bird_1481,debit_card_specializing,challenging,1,UNVERIFIED_FINAL,final_without_db_execution,UNVERIFIED_FINAL,final_without_db_execution,SCHEMA_LINKING,table_or_join_path_mismatch,no_prior_execution,生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。,"[AUTO confidence=medium] 表集合不同：pred=['customer_totals', 'customers', 'segment_avg', 'segment_min', 'yearmonth']，gold=['customers', 'yearmonth']；需复核 gold。 其他同时检测到但未作为主标签的结构差异（供人工复核）：AGGREGATION_REASONING/aggregation_or_grouping_mismatch: GROUP BY 字段不同：pred=['customerid)', ""max(case when segment = 'kam' then annual_avg_consumption end) - max(case when segment = 'sme' then annual_avg_consumption end) as kam_sme from segment_avg;"", ""max(case when segment = 'lam' then annual_avg_consumption end) - max(case when segment = 'kam' then annual_avg_consumption end) as lam_kam"", 'segment', ""segment_avg as (select ct.segment, avg(ct.total_consumption) as annual_avg_consumption from customer_totals as ct join segment_min as sm on ct.segment = sm.segment and ct.total_consumption = sm.min_consumption group by ct.segment) select max(case when segment = 'sme' then annual_avg_consumption end) - max(case when segment = 'lam' then annual_avg_consumption end) as sme_lam"", 'segment_min as (select segment, min(total_consumption) as min_consumption from customer_totals group by segment)']，gold=['none']。; AGGREGATION_REASONING/aggregation_or_grouping_mismatch: 预测与 gold 的聚合关键字不同：avg(, count(, max(。",在首次 FINAL 前先执行将要提交的 SQL，并把执行状态写入 trace。,[AUTO confidence=high] 最终 SQL 前没有 db.execute 记录。
20260807T190432Z-be9ec270,bird_1482,debit_card_specializing,challenging,3,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,SCHEMA_LINKING,table_or_join_path_mismatch,"tables, LIMIT",生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。,"[AUTO confidence=medium] 表集合不同：pred=['biggest', 'customers', 'lowest', 'pct', 'seg', 'yearmonth']，gold=['customers', 'yearmonth']；需复核 gold。 其他同时检测到但未作为主标签的结构差异（供人工复核）：AGGREGATION_REASONING/aggregation_or_grouping_mismatch: GROUP BY 字段不同：pred=['biggest as (select segment, pct_increase from pct order by pct_increase desc, segment limit 1)', ""lowest as (select segment, pct_increase from pct order by pct_increase asc, segment limit 1) select 'biggest' as which"", 'pct as (select segment, ((c2013 - c2012) * 100.0 / nullif(c2013,0)) as pct_increase from seg)', 'pct_increase from biggest', 'segment', 'segment)']，gold=['none']。; AGGREGATION_REASONING/sort_direction_or_order_scope_mismatch: 排序结构不同：pred=[('pct_increase', 'desc'), ('segment', 'asc')]，gold=['none']。; AGGREGATION_REASONING/limit_or_topk_mismatch: LIMIT 不同：pred=1，gold=none。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,"[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=tables, LIMIT。"
20260807T190432Z-be9ec270,bird_231,toxicology,challenging,3,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,OUTPUT_CONTRACT,output_column_count_mismatch,expression_or_projection_only,生成输出契约并检查列数、顺序和每列含义。,"[AUTO confidence=medium] 预测列数=2，gold 列数=1；需复核 gold 合理性。 其他同时检测到但未作为主标签的结构差异（供人工复核）：SCHEMA_LINKING/table_or_join_path_mismatch: 表集合不同：pred=['bond', 'molecule']，gold=['bond']；需复核 gold。; AGGREGATION_REASONING/aggregation_or_grouping_mismatch: GROUP BY 字段不同：pred=['bond_type', 'label']，gold=['bond_type']。; AGGREGATION_REASONING/sort_direction_or_order_scope_mismatch: 排序结构不同：pred=[('count(b.bond_type)', 'desc')]，gold=[('count(t1.molecule_id)', 'desc')]。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=expression_or_projection_only。
20260807T190432Z-be9ec270,bird_27,california_schools,moderate,2,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,ORDER BY,显式记录排序字段、方向，以及排序发生在聚合前还是聚合后；不能只检查是否出现 ASC/DESC。,"[AUTO confidence=medium] 排序结构不同：pred=[('school_name;', 'asc')]，gold=['none']。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=ORDER BY。
20260807T190432Z-be9ec270,bird_28,california_schools,challenging,2,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,AGGREGATION_REASONING,sort_direction_or_order_scope_mismatch,expression_or_projection_only,显式记录排序字段、方向，以及排序发生在聚合前还是聚合后；不能只检查是否出现 ASC/DESC。,"[AUTO confidence=medium] 排序结构不同：pred=[('(f.[enrollment (k-12)] - f.[enrollment (ages 5-17)])', 'desc'), ('school', 'asc')]，gold=['none']。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=expression_or_projection_only。
20260807T190432Z-be9ec270,bird_402,card_games,moderate,2,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,OUTPUT_CONTRACT,output_column_count_mismatch,ORDER BY,生成输出契约并检查列数、顺序和每列含义。,"[AUTO confidence=medium] 预测列数=2，gold 列数=1；需复核 gold 合理性。 其他同时检测到但未作为主标签的结构差异（供人工复核）：AGGREGATION_REASONING/aggregation_or_grouping_mismatch: 预测与 gold 的聚合关键字不同：sum(。; AGGREGATION_REASONING/sort_direction_or_order_scope_mismatch: 排序结构不同：pred=[('id;', 'asc')]，gold=['none']。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=ORDER BY。
20260807T190432Z-be9ec270,bird_50,california_schools,simple,2,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,AGGREGATION_REASONING,limit_or_topk_mismatch,expression_or_projection_only,确认 Top-K 的 LIMIT 数值、排序依据和并列（tie）处理是否与题目一致。,[AUTO confidence=medium] LIMIT 不同：pred=1，gold=6。,成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=expression_or_projection_only。
20260807T190432Z-be9ec270,bird_584,codebase_community,moderate,4,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,SCHEMA_LINKING,table_or_join_path_mismatch,expression_or_projection_only,生成 SQL 前记录表、字段来源和 JOIN 路径，并通过 Schema 校验。,"[AUTO confidence=medium] 表集合不同：pred=['comments', 'posthistory', 'posts']，gold=['posthistory', 'posts']；需复核 gold。 其他同时检测到但未作为主标签的结构差异（供人工复核）：AGGREGATION_REASONING/sort_direction_or_order_scope_mismatch: 排序结构不同：pred=[('id;', 'asc')]，gold=['none']。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=expression_or_projection_only。
20260807T190432Z-be9ec270,bird_83,california_schools,challenging,2,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,UNVERIFIED_FINAL,final_sql_rewritten_after_incorrect_observation,OUTPUT_CONTRACT,output_column_count_mismatch,"tables, GROUP BY, ORDER BY, LIMIT, aggregate",生成输出契约并检查列数、顺序和每列含义。,"[AUTO confidence=medium] 预测列数=4，gold 列数=2；需复核 gold 合理性。 其他同时检测到但未作为主标签的结构差异（供人工复核）：SCHEMA_LINKING/table_or_join_path_mismatch: 表集合不同：pred=['city_counts', 'city_total', 'frpm', 'k8_magnet', 'multi', 'schools']，gold=['frpm', 'schools']；需复核 gold。; AGGREGATION_REASONING/aggregation_or_grouping_mismatch: GROUP BY 字段不同：pred=['city )', 'city_total as ( select count(*) as number_of_cities from city_counts )', ""multi as ( select count(*) as multiple_provision_types_schools from k8_magnet km join frpm f on km.cdscode = f.cdscode where f.[nslp provision status] = 'multiple provision types' ) select cc.city"", 'multiple_provision_types_schools from city_counts cc cross join city_total ct cross join multi m', 'number_of_cities', 'schools_in_city']，gold=['city']。; AGGREGATION_REASONING/sort_direction_or_order_scope_mismatch: 排序结构不同：pred=[('city;', 'asc')]，gold=['none']。",成功 observation 后若为了语义改写 SQL，先执行改写版本；记录改写的是投影、过滤、聚合还是排序。,"[AUTO confidence=high] 最终 SQL 与最近执行 SQL 不同；最近 observation=successful rows; last execution differs from gold；结构改写=tables, GROUP BY, ORDER BY, LIMIT, aggregate。"
20260807T190432Z-be9ec270,bird_959,formula_1,simple,0,RUNNER_OR_API,no_assistant_output,,,,,,,,记录 API 异常、重试次数和终止原因，并允许断点重跑。,[AUTO confidence=high] 轨迹没有 assistant 输出；runner 信息：litellm.APIError: AzureException APIError - 。
