question_id,correct,verdict,sentences,PS,PG,FR,AC,UM,RC,SC,FAE
bird_1473,True,(答对或未判读),10,1,1,2,1,1,0,3,1
bird_1471,True,(答对或未判读),9,1,2,1,2,0,2,1,0
bird_1479,True,评测口径,5,0,2,0,0,2,0,1,0
bird_1476,True,(答对或未判读),12,2,1,2,3,1,0,3,0
bird_1472,False,(答对或未判读),77,8,9,13,15,6,16,9,1
bird_1480,True,(答对或未判读),52,4,9,5,8,8,4,8,6
bird_1481,False,双方,74,6,23,11,3,8,13,10,0
bird_1483,True,(答对或未判读),36,5,10,5,2,7,3,3,1
bird_1484,True,(答对或未判读),67,5,15,12,7,10,11,5,2
bird_1486,True,(答对或未判读),46,8,8,7,6,4,7,5,1
bird_1482,False,gold,184,20,42,26,17,26,26,24,3
bird_1493,True,(答对或未判读),30,4,4,8,1,0,7,4,2
bird_1498,False,模型,10,2,2,2,1,0,1,1,1
bird_1490,False,模型,135,6,23,20,17,30,29,10,0
bird_1500,True,(答对或未判读),101,4,23,16,8,22,15,12,1
bird_1501,True,(答对或未判读),104,9,16,22,9,20,13,13,1
bird_1506,False,(答对或未判读),28,3,6,4,0,4,7,3,1
bird_1507,True,(答对或未判读),5,0,3,0,0,2,0,0,0
bird_1509,True,(答对或未判读),31,3,7,9,4,6,1,0,1
bird_1514,True,(答对或未判读),32,4,7,2,1,2,5,10,1
bird_1515,True,(答对或未判读),37,3,6,6,0,10,7,5,0
bird_1525,False,(答对或未判读),43,5,8,6,3,6,5,8,2
bird_1524,False,题面/schema缺失,165,12,31,21,9,31,38,18,5
bird_1528,True,(答对或未判读),5,1,2,0,1,0,0,1,0
bird_1526,False,不可评分,114,9,18,17,16,18,20,14,2
bird_1505,False,(答对或未判读),104,8,22,16,5,20,20,12,1
bird_1531,False,双方,61,5,14,4,9,10,8,8,3
bird_1533,True,(答对或未判读),9,1,3,2,1,1,0,0,1
bird_1312,True,(答对或未判读),22,1,4,3,1,4,3,5,1
bird_1317,True,(答对或未判读),38,4,9,8,1,5,6,5,0
bird_1322,False,gold,28,3,6,2,2,2,4,7,2
bird_1323,True,(答对或未判读),29,2,7,4,2,5,2,5,2
bird_1331,True,(答对或未判读),32,3,6,4,2,7,6,3,1
bird_1529,False,模型,171,18,34,25,3,39,37,14,1
bird_1334,True,(答对或未判读),67,6,7,13,4,11,16,8,2
bird_1338,True,(答对或未判读),57,3,12,12,5,7,8,9,1
bird_1339,True,(答对或未判读),43,3,6,11,1,10,6,2,4
bird_1344,True,(答对或未判读),13,1,6,0,1,2,0,3,0
bird_1351,True,(答对或未判读),35,3,7,4,2,9,0,9,1
bird_1350,True,(答对或未判读),56,3,14,9,5,9,6,8,2
bird_1352,True,(答对或未判读),14,2,3,1,2,1,1,3,1
bird_1340,True,(答对或未判读),96,9,18,18,13,10,10,14,4
bird_1356,True,(答对或未判读),25,3,5,2,2,4,3,4,2
bird_1357,True,(答对或未判读),4,1,1,0,0,1,0,1,0
