run_id,id,db_id,difficulty,wrong_turn,error_class,subcategory,fix_idea,notes
20260713T230734Z-57339b35,bird_1166,thrombosis_prediction,simple,3,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 2 次 db.execute。
20260713T230734Z-57339b35,bird_1168,thrombosis_prediction,challenging,3,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 1 次 db.execute。
20260713T230734Z-57339b35,bird_1169,thrombosis_prediction,challenging,2,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 2 次 db.execute。
20260713T230734Z-57339b35,bird_1175,thrombosis_prediction,moderate,5,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 4 次 db.execute。
20260713T230734Z-57339b35,bird_1179,thrombosis_prediction,moderate,2,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 1 次 db.execute。
20260713T230734Z-57339b35,bird_1205,thrombosis_prediction,moderate,3,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 2 次 db.execute。
20260713T230734Z-57339b35,bird_1225,thrombosis_prediction,moderate,1,SEMANTIC_REVIEW_REQUIRED,filter_scope_or_expression_mismatch,记录过滤字段、取值、时间范围和作用层级后再生成 SQL。,[AUTO confidence=low] 最终 SQL 已执行成功，但结果与 gold 不同；自动规则未发现更具体结构错误，需复核过滤范围或 gold 噪声。
20260713T230734Z-57339b35,bird_1239,thrombosis_prediction,challenging,2,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 1 次 db.execute。
20260713T230734Z-57339b35,bird_1241,thrombosis_prediction,challenging,2,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 1 次 db.execute。
20260713T230734Z-57339b35,bird_1242,thrombosis_prediction,challenging,3,UNVERIFIED_FINAL,final_sql_changed_after_test,只允许 FINAL 提交最近一次成功执行的 SQL；SQL 改动后必须重新执行。,[AUTO confidence=high] 最终 SQL 未被执行验证；轨迹记录 2 次 db.execute。
